competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,2,BEL,06:20.3,"BRYS, Tim; VAN ZANDWEGHE, Niels"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,3,FRA1,06:20.6,"HOUIN, Pierre; BAROUKH, Thomas"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,4,GBR2,06:22.0,"COPUS, Jamie; HORSBURGH, Gavin"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,5,ITA2,06:23.3,"SCALZONE, Alfonso; SOARES, Gabriel"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,23/06/2018,6,UKR,06:26.5,"KHMARA, Igor; KOVALOV, Stanislav"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,1,ITA1,06:23.1,"OPPO, Stefano; RUTA, Pietro"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,2,POL,06:24.4,"KOWALSKI, Jerzy; JANKOWSKI, Milosz"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,3,NZL,06:24.5,"VAN DALEN, Benjamin; DUNHAM, Matthew"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,4,DEN,06:27.3,"MODEST, Alexander; ESPENSEN, Emil"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,5,SUI,06:31.7,"STRUZINA, Andri; MUELLER, Julian"
2018 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,23/06/2018,6,GER,06:33.2,"WICHERT, Lars; STEINHUEBEL, Konstantin"
2018 World Rowing Cup II,LM2-,Lightweight Men's Pair - Final,FA,23/06/2018,1,BRA,06:48.1,"VELA MAGGI, Xavier; GIARETTON, Willian"
2018 World Rowing Cup II,LM2-,Lightweight Men's Pair - Final,FA,23/06/2018,2,AUT,06:53.3,"LINDORFER, Lorenz ; SIGL, Anton"
2018 World Rowing Cup II,LM2-,Lightweight Men's Pair - Preleminary,X1,22/06/2018,1,AUT,06:57.5,"LINDORFER, Lorenz ; SIGL, Anton"
2018 World Rowing Cup II,LM2-,Lightweight Men's Pair - Preleminary,X1,22/06/2018,2,BRA,08:45.6,"VELA MAGGI, Xavier; GIARETTON, Willian"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,1,ITA,05:52.6,"AMARANTEII, Catello; DI GIROLAMO, Paolo; MICHELETTI, Andrea; MULAS, Matteo"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,2,GER,05:58.4,"AGNE, Joachim; ROEGER, Max; ROLLER, Florian; MOOS, Moritz"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,3,NOR,06:01.0,"WIE-SOLTVEDT, Didrik; SOEDAL, Oskar; HOLM, Jens; BENSKE, Lars"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,4,AUT,06:01.3,"KREITMEIER, Lukas; WEBER, Levi; ERLMOSER, Severin; KABAS, Sebastian"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,5,AUS,06:01.6,"FOWLER, Cameron; KELLY, Jack; HESELTINE, Blaine; KERR, James"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Final,FA,23/06/2018,6,HUN,06:10.3,"TAMAS, Bence; FIALA, Balazs; FORRAI, David; CSISZAR, Peter"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,1,ITA,06:00.1,"AMARANTEII, Catello; DI GIROLAMO, Paolo; MICHELETTI, Andrea; MULAS, Matteo"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,2,NOR,06:08.9,"WIE-SOLTVEDT, Didrik; SOEDAL, Oskar; HOLM, Jens; BENSKE, Lars"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,3,GER,06:09.3,"AGNE, Joachim; ROEGER, Max; ROLLER, Florian; MOOS, Moritz"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,4,AUS,06:10.0,"FOWLER, Cameron; KELLY, Jack; HESELTINE, Blaine; KERR, James"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,5,AUT,06:13.7,"KREITMEIER, Lukas; WEBER, Levi; ERLMOSER, Severin; KABAS, Sebastian"
2018 World Rowing Cup II,LM4x,Lightweight Men's Quadruple Sculls - Preleminary,X1,22/06/2018,6,HUN,06:14.2,"TAMAS, Bence; FIALA, Balazs; FORRAI, David; CSISZAR, Peter"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H1,22/06/2018,1,SUI2,07:04.9,"RUEEDI, Fiorin"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H1,22/06/2018,2,NOR,07:05.5,"TJOEM, Ask Jarl"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H1,22/06/2018,3,SUI1,07:06.8,"SCHMID, Michael"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H1,22/06/2018,4,AUS,07:07.4,"PARRY, Hamish"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H1,22/06/2018,5,AUT2,07:08.0,"KEPPLINGER, Rainer"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H2,22/06/2018,1,GER2,06:58.5,"ROMMELMANN, Jonathan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H2,22/06/2018,2,BRA,07:02.6,"BATISTA, Uncas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H2,22/06/2018,3,NZL,07:03.5,"LASSCHE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H2,22/06/2018,4,CHN,07:07.7,"ZHANG, Zhiyuan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H2,22/06/2018,5,FRA,07:08.6,"COLARD, Thibault"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H3,22/06/2018,1,GER1,06:57.8,"OSBORNE, Jason"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H3,22/06/2018,2,AUT1,07:04.6,"SIEBER, Paul"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H3,22/06/2018,3,ITA,07:05.7,"GORETTI, Martino"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H3,22/06/2018,4,GBR,07:14.4,"TEMPLE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Heat,H3,22/06/2018,5,FIN,07:29.4,"PETAEJAENIEMI, Joonas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,1,GER1,06:52.4,"OSBORNE, Jason"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,2,SUI1,06:55.3,"SCHMID, Michael"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,3,ITA,06:55.7,"GORETTI, Martino"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,4,GER2,06:56.9,"ROMMELMANN, Jonathan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,5,NZL,07:07.3,"LASSCHE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FA,23/06/2018,6,SUI2,07:15.3,"RUEEDI, Fiorin"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,1,NOR,07:00.7,"TJOEM, Ask Jarl"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,2,CHN,07:01.1,"ZHANG, Zhiyuan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,3,BRA,07:05.8,"BATISTA, Uncas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,4,AUS,07:06.4,"PARRY, Hamish"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,5,AUT1,07:06.9,"SIEBER, Paul"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FB,23/06/2018,6,FRA,07:15.9,"COLARD, Thibault"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FC,23/06/2018,1,AUT2,07:04.5,"KEPPLINGER, Rainer"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FC,23/06/2018,2,GBR,07:08.8,"TEMPLE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Final,FC,23/06/2018,3,FIN,07:25.8,"PETAEJAENIEMI, Joonas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,1,AUS,07:17.1,"PARRY, Hamish"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,2,FRA,07:18.6,"COLARD, Thibault"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,3,CHN,07:19.0,"ZHANG, Zhiyuan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,4,AUT2,07:19.5,"KEPPLINGER, Rainer"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,5,GBR,07:27.8,"TEMPLE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Repechage,R1,22/06/2018,6,FIN,07:51.6,"PETAEJAENIEMI, Joonas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,1,GER1,06:55.9,"OSBORNE, Jason"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,2,ITA,06:57.5,"GORETTI, Martino"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,3,SUI2,06:58.9,"RUEEDI, Fiorin"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,4,CHN,07:02.3,"ZHANG, Zhiyuan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,5,BRA,07:05.6,"BATISTA, Uncas"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,6,FRA,07:16.3,"COLARD, Thibault"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,1,SUI1,06:57.8,"SCHMID, Michael"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,2,GER2,06:58.3,"ROMMELMANN, Jonathan"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,3,NZL,07:00.7,"LASSCHE, James"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,4,AUS,07:02.8,"PARRY, Hamish"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,5,NOR,07:05.2,"TJOEM, Ask Jarl"
2018 World Rowing Cup II,LM1x,Lightweight Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,6,AUT1,07:09.4,"SIEBER, Paul"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,1,GBR1,07:00.4,"PIGGOTT, Eleanor; RAWLINS, Francesca"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,2,AUS2,07:00.8,"ARCH, Alice; JAMES, Amy"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,3,NED,07:01.6,"KEIJSER, Marieke; PAULIS, Ilse"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,4,GBR2,07:03.0,"HALL, Gemma; ARLETT, Madeleine"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,5,GER,07:05.7,"MEIER, Ladina; PLESS, Leonie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H1,22/06/2018,6,AUT2,07:26.8,"BRESCHAN, Alexandra; TOLLINGER, Valentina"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,1,NZL,06:53.0,"MCBRIDE, Zoe; KIDDLE, Jackie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,2,POL,06:54.4,"DERESZ, Weronika; WELNA, Katarzyna"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,3,ITA,06:55.7,"RODINI, Valentina; CESARINI, Federica"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,4,CHN2,06:58.2,"WU, Qiang; LIANG, Guoru"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,5,AUT1,07:07.0,"ALTENHUBER, Louisa; ARNDORFER, Laura"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H2,22/06/2018,6,NOR,07:14.6,"KRISTIANSEN, Siri Eva; LUND, Maia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H3,22/06/2018,1,ROU,07:01.4,"COZMIUC, Ionela-Livia; BELEAGA, Gianina-Elena"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H3,22/06/2018,2,SUI,07:08.3,"MERZ, Patricia; ROL, Frederique"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H3,22/06/2018,3,CHN1,07:09.1,"CHEN, Fang; PAN, Dandan"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H3,22/06/2018,4,USA,07:16.2,"SAEGER, Hillary; JONES, Mary"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Heat,H3,22/06/2018,5,AUS1,07:19.4,"MIANSAROW, Georgia; NESBITT, Georgia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,1,ITA,06:54.1,"RODINI, Valentina; CESARINI, Federica"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,2,NED,06:55.6,"KEIJSER, Marieke; PAULIS, Ilse"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,3,ROU,06:57.0,"COZMIUC, Ionela-Livia; BELEAGA, Gianina-Elena"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,4,SUI,06:57.0,"MERZ, Patricia; ROL, Frederique"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,5,NZL,06:57.2,"MCBRIDE, Zoe; KIDDLE, Jackie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FA,24/06/2018,6,POL,07:01.9,"DERESZ, Weronika; WELNA, Katarzyna"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,1,CHN2,07:03.4,"WU, Qiang; LIANG, Guoru"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,2,GBR1,07:04.6,"PIGGOTT, Eleanor; RAWLINS, Francesca"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,3,CHN1,07:05.0,"CHEN, Fang; PAN, Dandan"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,4,GBR2,07:07.3,"HALL, Gemma; ARLETT, Madeleine"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,5,AUS2,07:07.9,"ARCH, Alice; JAMES, Amy"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FB,24/06/2018,6,GER,07:10.0,"MEIER, Ladina; PLESS, Leonie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FC,23/06/2018,1,AUT1,07:03.5,"ALTENHUBER, Louisa; ARNDORFER, Laura"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FC,23/06/2018,2,USA,07:08.1,"SAEGER, Hillary; JONES, Mary"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FC,23/06/2018,3,AUS1,07:08.3,"MIANSAROW, Georgia; NESBITT, Georgia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FC,23/06/2018,4,NOR,07:14.1,"KRISTIANSEN, Siri Eva; LUND, Maia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Final,FC,23/06/2018,5,AUT2,07:26.1,"BRESCHAN, Alexandra; TOLLINGER, Valentina"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,1,NED,07:04.5,"KEIJSER, Marieke; PAULIS, Ilse"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,2,CHN1,07:07.0,"CHEN, Fang; PAN, Dandan"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,3,CHN2,07:09.2,"WU, Qiang; LIANG, Guoru"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,4,AUS1,07:12.5,"MIANSAROW, Georgia; NESBITT, Georgia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,5,NOR,07:16.8,"KRISTIANSEN, Siri Eva; LUND, Maia"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R1,22/06/2018,6,AUT2,07:36.6,"BRESCHAN, Alexandra; TOLLINGER, Valentina"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R2,22/06/2018,1,ITA,07:03.0,"RODINI, Valentina; CESARINI, Federica"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R2,22/06/2018,2,GER,07:05.3,"MEIER, Ladina; PLESS, Leonie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R2,22/06/2018,3,GBR2,07:05.8,"HALL, Gemma; ARLETT, Madeleine"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R2,22/06/2018,4,USA,07:07.4,"SAEGER, Hillary; JONES, Mary"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Repechage,R2,22/06/2018,5,AUT1,07:09.5,"ALTENHUBER, Louisa; ARNDORFER, Laura"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,1,NZL,06:57.3,"MCBRIDE, Zoe; KIDDLE, Jackie"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,2,ITA,06:59.6,"RODINI, Valentina; CESARINI, Federica"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,3,SUI,07:00.7,"MERZ, Patricia; ROL, Frederique"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,4,CHN1,07:04.2,"CHEN, Fang; PAN, Dandan"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,5,GBR1,07:04.3,"PIGGOTT, Eleanor; RAWLINS, Francesca"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,23/06/2018,6,GBR2,07:11.3,"HALL, Gemma; ARLETT, Madeleine"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,1,ROU,06:58.1,"COZMIUC, Ionela-Livia; BELEAGA, Gianina-Elena"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,2,NED,06:58.2,"KEIJSER, Marieke; PAULIS, Ilse"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,3,POL,06:59.8,"DERESZ, Weronika; WELNA, Katarzyna"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,4,CHN2,07:00.7,"WU, Qiang; LIANG, Guoru"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,5,AUS2,07:09.6,"ARCH, Alice; JAMES, Amy"
2018 World Rowing Cup II,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,23/06/2018,6,GER,07:13.7,"MEIER, Ladina; PLESS, Leonie"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H1,22/06/2018,1,RUS,07:42.7,"LEBEDEVA, Anastasia"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H1,22/06/2018,2,SWE1,07:47.6,"FREDH, Emma"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H1,22/06/2018,3,GER1,07:59.3,"THOMA, Katrin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H1,22/06/2018,4,SWE2,08:05.5,"WALLIN, Lovisa"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H1,22/06/2018,5,CHN1,08:06.4,"LEI, Zaozhao"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H2,22/06/2018,1,USA1,07:52.1,"SCHMIEG, Emily"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H2,22/06/2018,2,ITA,07:53.7,"GUERRA, Clara"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H2,22/06/2018,3,USA2,07:55.4,"CAVALLO, Christine"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H2,22/06/2018,4,AUT,07:56.5,"MANOUTSCHEHRI, Anja"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H3,22/06/2018,1,POL,07:39.6,"DOROCIAK, Joanna"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H3,22/06/2018,2,BLR,07:42.5,"FURMAN, Alena"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H3,22/06/2018,3,GER2,07:50.6,"DRAEGER, Marie-Louise"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Heat,H3,22/06/2018,4,CHN2,08:08.7,"KUANG, Chunqin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,1,POL,07:35.3,"DOROCIAK, Joanna"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,2,BLR,07:37.4,"FURMAN, Alena"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,3,ITA,07:38.3,"GUERRA, Clara"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,4,USA2,07:39.3,"CAVALLO, Christine"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,5,SWE1,07:43.8,"FREDH, Emma"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FA,23/06/2018,6,RUS,07:47.9,"LEBEDEVA, Anastasia"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,1,GER2,07:48.0,"DRAEGER, Marie-Louise"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,2,USA1,07:51.9,"SCHMIEG, Emily"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,3,AUT,07:53.8,"MANOUTSCHEHRI, Anja"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,4,CHN1,08:05.2,"KUANG, Chunqin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,5,CHN2,08:16.9,"LEI, Zaozhao"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Final,FB,23/06/2018,6,GER1,00:00.0,"THOMA, Katrin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Repechage,R1,22/06/2018,1,AUT,08:00.7,"MANOUTSCHEHRI, Anja"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Repechage,R1,22/06/2018,2,CHN2,08:02.8,"LEI, Zaozhao"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Repechage,R1,22/06/2018,3,CHN1,08:06.5,"KUANG, Chunqin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Repechage,R1,22/06/2018,4,SWE2,08:13.6,"WALLIN, Lovisa"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,1,POL,07:32.0,"DOROCIAK, Joanna"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,2,ITA,07:35.1,"GUERRA, Clara"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,3,RUS,07:36.7,"LEBEDEVA, Anastasia"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,4,GER2,07:42.4,"DRAEGER, Marie-Louise"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,5,CHN1,07:53.3,"KUANG, Chunqin"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 1,23/06/2018,6,CHN2,08:26.2,"LEI, Zaozhao"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,1,BLR,07:36.3,"FURMAN, Alena"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,2,USA2,07:37.4,"CAVALLO, Christine"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,3,SWE1,07:39.3,"FREDH, Emma"
2018 World Rowing Cup II,LW1x,Lightweight Women's Single Sculls - Semifinal,SA/B 2,23/06/2018,4,USA1,07:39.6,"SCHMIEG, Emily"
