competition,event,race,code,date,position,nationality,time,crew
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,2,RSA,07:19.2,"HUNT, David; BRITTAIN, Lawrence; MORGAN, Willie"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,3,ITA,07:20.6,"CANCIANI, Sergio; TRANQUILLI, Andrea; RIVA, Andrea"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,4,AUS,07:24.8,"ELLIS, George; CUNNINGHAM-REID, Christopher; WEBSTER, Timothy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,5,FRA,07:35.3,"HACOT, Thibaut; MOUSNIER, Cedric; MONTET, Julien"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,1,GER,07:17.5,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,2,NED,07:22.6,"SLUIS, Nanne; SPOELSTRA, Gerbren; JANSSEN, Paul"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,3,USA,07:24.6,"BROWN, Taylor; HOFFSTOT, Henry; CARLSON, John"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,4,UKR,07:34.0,"PRYKHODKO, Pavlo; IVANCHUK, Andriy; PANCHUK, Yuriy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,5,RUS,07:37.1,"GRITSENKO, Lev; MISYUTKIN, Viktor; SAFONKIN, Pavel"
2014 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,13/07/2014,1,GER,07:03.0,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,13/07/2014,2,GBR,07:03.6,"SINCLAIR, Alan; DURANT, Scott; FIELDMAN, Henry"
2014 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,13/07/2014,3,NED,07:15.8,"BROENINK, Stefan; DOORNBOS, Thomas; VAN DEN ENDE, Tim"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,31/08/2015,1,GBR,06:52.5,"REILLY-O'DONNELL, Nathaniel; TARRANT, Matthew; FIELDMAN, Henry"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,31/08/2015,2,BLR,07:02.7,"VALADZKO, Siarhei; VYBERANETS, Dzmitry; PIATRYNICH, Piotr"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,31/08/2015,3,FRA,07:06.5,"DELACHAUME, Romain; MACQUET, Jean-Baptiste; MANCEAU, Benjamin"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,31/08/2015,4,ITA,07:32.0,"PARLATO, Luca; LIUZZI, Emanuele; RIVA, Andrea"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,31/08/2015,1,GER,06:59.2,"SCHNEIDER, Jakob; ERNSTING, Clemens; WIESEN, Jonas"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,31/08/2015,2,RSA,07:05.0,"DAVIS, Leo Victor; GREEN, Jake; MORGAN, Willie"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,31/08/2015,3,SRB,07:10.9,"PIVAC, Viktor; MACKOVIC, Martin; MLADENOVIC, Luka"
