competition,event,race,code,position,nationality,time,crew
2010 World Rowing Cup II,M2x,Men's Double Sculls - Final,FC,6,HUN,06:53.2,"SZEKER, Laszlo; SZELL, Domonkos"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Final,FD,1,ROU1,06:50.2,"SAMSON, Mihai; RADION, Andrei"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Final,FD,2,CZE2,06:56.3,"HOUSKA, Jakub; LUZEK, Ondrej"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Final,FD,3,UKR1,07:09.1,"MOROZOV, Artem; KRYVENKO, Vitaliy"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,1,GER,06:19.8,"JOHANNESEN, Eric; PETER, Sebastian"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,2,CHN,06:20.3,"LIU, Hang; SHI, Zhiqiang"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,3,EST2,06:20.9,"ENDREKSON, Tonu; JAMSA, Andrei"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,4,LTU,06:25.3,"RITTER, Saulius; MASCINSKAS, Rolandas"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R1,5,ROU1,06:33.3,"SAMSON, Mihai; RADION, Andrei"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R2,1,FRA,06:23.8,"BERREST, Cedric; BAHAIN, Julien"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R2,2,SLO1,06:31.4,"SPIK, Luka; SPIK, Jan"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R2,3,AUS,06:36.7,"BIDWELL, Jared; REEDMAN, Danjels"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R2,4,CZE2,06:38.9,"HOUSKA, Jakub; LUZEK, Ondrej"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R3,1,POL,06:23.2,"SLOMA, Michal; CHABEL, Wiktor"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R3,2,NOR1,06:26.8,"HOFF, Nils Jakob; BORCH, Kjetil"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R3,3,NOR2,06:32.1,"SINGSTAD, Bjoern-Jostein; ALBERT, Truls"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R3,4,HUN,06:32.8,"SZEKER, Laszlo; SZELL, Domonkos"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R4,1,USA,06:26.6,"OCHAL, Glenn; ANDERSON, Warren"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R4,2,UKR2,06:31.2,"HONTAR, Herman; MOROZ, Artem"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R4,3,RUS,06:35.1,"SALOV, Igor; RYABCEV, Vladislav"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Repechage,R4,4,UKR1,06:38.2,"MOROZOV, Artem; KRYVENKO, Vitaliy"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,1,CHN,06:36.7,"LIU, Hang; SHI, Zhiqiang"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,2,SUI,06:37.0,"VONARBURG, Andre; STOFER, Florian"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,3,USA,06:37.7,"OCHAL, Glenn; ANDERSON, Warren"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,4,SLO1,06:37.8,"SPIK, Luka; SPIK, Jan"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,5,CZE1,06:45.7,"VITASEK, Petr; JIRKA, David"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 1,6,POL,06:46.8,"SLOMA, Michal; CHABEL, Wiktor"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,1,GBR,06:33.9,"WELLS, Matthew; BATEMAN, Marcus"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,2,FRA,06:36.6,"BERREST, Cedric; BAHAIN, Julien"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,3,GER,06:39.4,"JOHANNESEN, Eric; PETER, Sebastian"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,4,NOR1,06:40.5,"HOFF, Nils Jakob; BORCH, Kjetil"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,5,NZL,06:49.9,"SULLIVAN, Joseph; COHEN, Nathan"
2010 World Rowing Cup II,M2x,Men's Double Sculls - Semifinal,SA/B 2,6,UKR2,06:50.5,"HONTAR, Herman; MOROZ, Artem"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H1,1,GBR,05:34.2,"REILLY-O'DONNELL, Nathaniel; CLARKE, James; ORME, James; FOAD, James; SBIHI, Mohamed; SEARLE, Greg; BROADWAY, Tom; RITCHIE, Daniel; HILL, Phelan"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H1,2,POL,05:39.8,"HEJMEJ, Rafal; ARANOWSKI, Krystian; JUSZCZAK, Piotr; KRUSZKOWSKI, Slawomir; HOJKA, Piotr; BRZEZINSKI, Marcin; SZPAKOWSKI, Michal; BURDA, Mikolaj; TROJANOWSKI, Daniel"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H1,3,RUS,05:39.9,"BUYANOV, Iliya; SHCHERBAKOV, Alexey; VOYNOV, Danil; PASTUKHOV, Konstantin; BELOV, Mikhail; NIKIFOROV, Denis; ZARUTSKIY, Anton; LITVINCHEV, Alexander; SAFONKIN, Pavel"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H1,4,ROU,06:00.4,"DEACONESCU, Alexandru; MORARU, Mn; POP, Stefan; GRECU, Laurentin; STRUNGARU, Ionel; POP, Leon; STOICA, Georgian; STOICA, Aurelian; GRIGORE, Ionut"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H2,1,GER,05:30.1,"HAUFFE, Gregor; REINELT, Maximilian; WILKE, Kristof; MENNIGEN, Florian; SCHMIDT, Sebastian; MUELLER, Lukas; SEIFERT, Toni; SCHMIDT, Richard; SAUER, Martin"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H2,2,CHN,05:32.0,"ZHU, Ziqiang; ZHENG, Xiaolong; XUE, Feng; PANG, Shuqiang; GUO, Xiaobing; LI, Dongjian; WU, Lin; SUN, Zhaowen; ZHANG, Dechang"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H2,3,UKR,05:36.8,"PRYVEDA, Andriy; GREBENNYKOV, Viktor; SHPAK, Andriy; BAZYLYEV, Serhiy; IAKYMCHUK, Andrii; PROKOPENKO, Dmytro; LYKOV, Oleg; CHYKANOV, Sergiy; KONOVALIUK, Oleksandr"
2010 World Rowing Cup II,M8+,Men's Eight - Heat,H2,4,CRO,05:39.5,"JANJIC, Ante; BOGDAN, Marin; SUPIC, Silvio; SKELIN, Niksa; CAVRLJ, Vitomir; BANOVAC, Alen; SKELIN, Sinisa; MALBASIC, Darko; KUJUNDZIC, Mario"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,1,GER,05:44.2,"HAUFFE, Gregor; REINELT, Maximilian; WILKE, Kristof; MENNIGEN, Florian; SCHMIDT, Richard; MUELLER, Lukas; SEIFERT, Toni; SCHMIDT, Sebastian; SAUER, Martin"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,2,CHN,05:47.3,"ZHU, Ziqiang; ZHENG, Xiaolong; XUE, Feng; PANG, Shuqiang; GUO, Xiaobing; LI, Dongjian; WU, Lin; SUN, Zhaowen; ZHANG, Dechang"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,3,GBR,05:50.4,"REILLY-O'DONNELL, Nathaniel; CLARKE, James; ORME, James; FOAD, James; SBIHI, Mohamed; SEARLE, Greg; BROADWAY, Tom; RITCHIE, Daniel; HILL, Phelan"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,4,POL,05:50.5,"HEJMEJ, Rafal; ARANOWSKI, Krystian; JUSZCZAK, Piotr; KRUSZKOWSKI, Slawomir; HOJKA, Piotr; BRZEZINSKI, Marcin; SZPAKOWSKI, Michal; BURDA, Mikolaj; TROJANOWSKI, Daniel"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,5,CRO,05:54.0,"JANJIC, Ante; BOGDAN, Marin; SUPIC, Silvio; SKELIN, Niksa; CAVRLJ, Vitomir; BANOVAC, Alen; SKELIN, Sinisa; MALBASIC, Darko; KUJUNDZIC, Mario"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FA,6,UKR,05:54.7,"PRYVEDA, Andriy; GREBENNYKOV, Viktor; SHPAK, Andriy; BAZYLYEV, Serhiy; IAKYMCHUK, Andrii; PROKOPENKO, Dmytro; LYKOV, Oleg; CHYKANOV, Sergiy; KONOVALIUK, Oleksandr"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FB,1,RUS,05:55.1,"SALOV, Igor; SHCHERBAKOV, Alexey; VOYNOV, Danil; PASTUKHOV, Konstantin; BELOV, Mikhail; NIKIFOROV, Denis; ZARUTSKIY, Anton; LITVINCHEV, Alexander; SAFONKIN, Pavel"
2010 World Rowing Cup II,M8+,Men's Eight - Final,FB,2,ROU,06:00.8,"DEACONESCU, Alexandru; MORARU, Mn; POP, Stefan; GRECU, Laurentin; STRUNGARU, Ionel; POP, Leon; STOICA, Georgian; STOICA, Aurelian; GRIGORE, Ionut"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,1,CHN,05:58.4,"ZHU, Ziqiang; ZHENG, Xiaolong; XUE, Feng; PANG, Shuqiang; GUO, Xiaobing; LI, Dongjian; WU, Lin; SUN, Zhaowen; ZHANG, Dechang"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,2,POL,06:01.0,"HEJMEJ, Rafal; ARANOWSKI, Krystian; JUSZCZAK, Piotr; KRUSZKOWSKI, Slawomir; HOJKA, Piotr; BRZEZINSKI, Marcin; SZPAKOWSKI, Michal; BURDA, Mikolaj; TROJANOWSKI, Daniel"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,3,CRO,06:03.9,"JANJIC, Ante; BOGDAN, Marin; SUPIC, Silvio; SKELIN, Niksa; CAVRLJ, Vitomir; BANOVAC, Alen; SKELIN, Sinisa; MALBASIC, Darko; KUJUNDZIC, Mario"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,4,UKR,06:05.1,"PRYVEDA, Andriy; GREBENNYKOV, Viktor; SHPAK, Andriy; BAZYLYEV, Serhiy; IAKYMCHUK, Andrii; PROKOPENKO, Dmytro; LYKOV, Oleg; CHYKANOV, Sergiy; KONOVALIUK, Oleksandr"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,5,RUS,06:07.5,"BUYANOV, Iliya; SHCHERBAKOV, Alexey; VOYNOV, Danil; PASTUKHOV, Konstantin; BELOV, Mikhail; NIKIFOROV, Denis; ZARUTSKIY, Anton; LITVINCHEV, Alexander; SAFONKIN, Pavel"
2010 World Rowing Cup II,M8+,Men's Eight - Repechage,R,6,ROU,06:19.4,"DEACONESCU, Alexandru; MORARU, Mn; POP, Stefan; GRECU, Laurentin; STRUNGARU, Ionel; POP, Leon; STOICA, Georgian; STOICA, Aurelian; GRIGORE, Ionut"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,1,GBR,05:54.7,"PARTRIDGE, Alex; EGINGTON, Richard; GREGORY, Alex; LANGRIDGE, Matt"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,2,GER1,06:01.5,"BERTRAM, Rene; URBAN, Jochen; KAEUFER, Urs; EICHNER, Florian"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,3,GER3,06:13.2,"BOHNEKAMP, Hendrik; KUFFNER, Andreas; BRAUN, Anton; BECHLER, Bastian"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,4,POL,06:17.6,"BRZEZINSKI, Patryk; ABLEWSKI, Ryszard; KOSIOREK, Sebastian; GODEK, Jaroslaw"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,5,CZE2,06:23.3,"SZABO, David; KOLOC, Jakub; PILC, Jan; MELICHAR, Petr"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H1,6,GER2,06:59.1,"NEUMANN, Marco; WIENHAUSEN, Hanno; NARUHN, Philipp; ADAMSKI, Filip"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,1,USA,05:57.0,"LANZONE, Giuseppe; NEWLIN, Brett; RUMMEL, Henrik; INMAN, Josh"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,2,AUS1,05:57.7,"RYAN, Matthew; MARBURG, James; MCKENZIE MCHARG, Cameron; HEGERTY, Francis"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,3,CZE1,06:06.5,"GRUBER, Jan; DOLECEK JR, Milan; BRUNCVIK JR, Milan; HORVATH, Michal"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,4,AUS3,06:09.6,"LARKINS, Thomas; BUCKLAND, Brodie; PRAGNELL, Fergus; SWANN, Thomas"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,5,CHN2,06:14.3,"ZHANG, Liangliang; YANG, Jie; QU, Xiaoming; ZHOU, Yinan"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H2,6,CHN1,06:27.5,"LIU, Kun; WANG, Xiangdang; ZHANG, Yongqiang; AN, Fengzhi"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,1,AUS2,05:52.9,"LOCKWOOD, William; LOCH, Samuel; PURNELL, Nicholas; DUNKLEY-SMITH, Joshua"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,2,SRB1,05:54.4,"VASIC, Milos; JAGAR, Goran; VUKOVIC, Miljan; DERIC, Radoje"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,3,NZL2,05:55.9,"WILLIAMS, Tyson; SEYMOUR, Ian; HARRIS, Chris; HAMMOND, Benjamin"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,4,NZL1,06:02.9,"O'NEILL, Sean; BURSON, Hamish; URU, Jade; EADE, David"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,5,SLO,06:08.2,"PIRIH, Tomaz; PIRIH, Ziga; KOLANDER, Rok; PIRIH, Miha"
2010 World Rowing Cup II,M4-,Men's Four - Heat,H3,6,SRB2,06:27.5,"LUCIC, Igor; DORDEVIC, Luka; BEDIK, Nenad; PERZIC, Igor"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,1,AUS2,05:59.9,"LOCKWOOD, William; LOCH, Samuel; PURNELL, Nicholas; DUNKLEY-SMITH, Joshua"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,2,USA,06:01.6,"LANZONE, Giuseppe; NEWLIN, Brett; RUMMEL, Henrik; INMAN, Josh"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,3,GBR,06:02.4,"PARTRIDGE, Alex; EGINGTON, Richard; GREGORY, Alex; LANGRIDGE, Matt"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,4,AUS1,06:04.6,"RYAN, Matthew; MARBURG, James; MCKENZIE MCHARG, Cameron; HEGERTY, Francis"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,5,NZL1,06:05.0,"O'NEILL, Sean; BURSON, Hamish; URU, Jade; EADE, David"
2010 World Rowing Cup II,M4-,Men's Four - Final,FA,6,CZE1,06:08.3,"GRUBER, Jan; DOLECEK JR, Milan; BRUNCVIK JR, Milan; HORVATH, Michal"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,1,GER1,06:10.1,"BERTRAM, Rene; URBAN, Jochen; KAEUFER, Urs; EICHNER, Florian"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,2,NZL2,06:10.1,"WILLIAMS, Tyson; SEYMOUR, Ian; HARRIS, Chris; HAMMOND, Benjamin"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,3,SRB1,06:11.5,"VASIC, Milos; JAGAR, Goran; VUKOVIC, Miljan; DERIC, Radoje"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,4,GER3,06:13.1,"BOHNEKAMP, Hendrik; KUFFNER, Andreas; BRAUN, Anton; BECHLER, Bastian"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,5,AUS3,06:15.3,"LARKINS, Thomas; BUCKLAND, Brodie; PRAGNELL, Fergus; SWANN, Thomas"
2010 World Rowing Cup II,M4-,Men's Four - Final,FB,6,CHN2,06:19.5,"ZHANG, Liangliang; YANG, Jie; QU, Xiaoming; ZHOU, Yinan"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,1,GER2,06:16.1,"NEUMANN, Marco; WIENHAUSEN, Hanno; NARUHN, Philipp; ADAMSKI, Filip"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,2,CZE2,06:17.6,"SZABO, David; KOLOC, Jakub; PILC, Jan; MELICHAR, Petr"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,3,SLO,06:20.8,"PIRIH, Tomaz; PIRIH, Ziga; KOLANDER, Rok; PIRIH, Miha"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,4,POL,06:22.3,"BRZEZINSKI, Patryk; ABLEWSKI, Ryszard; KOSIOREK, Sebastian; GODEK, Jaroslaw"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,5,CHN1,06:23.2,"LIU, Kun; WANG, Xiangdang; ZHANG, Yongqiang; AN, Fengzhi"
2010 World Rowing Cup II,M4-,Men's Four - Final,FC,6,SRB2,06:23.8,"LUCIC, Igor; DORDEVIC, Luka; BEDIK, Nenad; PERZIC, Igor"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,1,GER3,05:58.2,"BOHNEKAMP, Hendrik; KUFFNER, Andreas; BRAUN, Anton; BECHLER, Bastian"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,2,NZL2,05:58.9,"WILLIAMS, Tyson; SEYMOUR, Ian; HARRIS, Chris; HAMMOND, Benjamin"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,3,AUS3,05:59.8,"LARKINS, Thomas; BUCKLAND, Brodie; PRAGNELL, Fergus; SWANN, Thomas"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,4,SLO,06:00.0,"PIRIH, Tomaz; PIRIH, Ziga; KOLANDER, Rok; PIRIH, Miha"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,5,GER2,06:03.1,"NEUMANN, Marco; WIENHAUSEN, Hanno; NARUHN, Philipp; ADAMSKI, Filip"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R1,6,CHN1,06:16.5,"LIU, Kun; WANG, Xiangdang; ZHANG, Yongqiang; AN, Fengzhi"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,1,CZE1,05:58.8,"GRUBER, Jan; DOLECEK JR, Milan; BRUNCVIK JR, Milan; HORVATH, Michal"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,2,NZL1,06:00.5,"O'NEILL, Sean; BURSON, Hamish; URU, Jade; EADE, David"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,3,CHN2,06:03.0,"ZHANG, Liangliang; YANG, Jie; QU, Xiaoming; ZHOU, Yinan"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,4,SRB2,06:05.0,"LUCIC, Igor; DORDEVIC, Luka; BEDIK, Nenad; PERZIC, Igor"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,5,POL,06:05.6,"BRZEZINSKI, Patryk; ABLEWSKI, Ryszard; KOSIOREK, Sebastian; GODEK, Jaroslaw"
2010 World Rowing Cup II,M4-,Men's Four - Repechage,R2,6,CZE2,06:05.9,"SZABO, David; KOLOC, Jakub; PILC, Jan; MELICHAR, Petr"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,1,GBR,06:12.6,"PARTRIDGE, Alex; EGINGTON, Richard; GREGORY, Alex; LANGRIDGE, Matt"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,2,USA,06:13.0,"LANZONE, Giuseppe; NEWLIN, Brett; RUMMEL, Henrik; INMAN, Josh"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,3,CZE1,06:13.7,"GRUBER, Jan; DOLECEK JR, Milan; BRUNCVIK JR, Milan; HORVATH, Michal"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,4,SRB1,06:14.2,"VASIC, Milos; JAGAR, Goran; VUKOVIC, Miljan; DERIC, Radoje"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,5,NZL2,06:20.0,"WILLIAMS, Tyson; SEYMOUR, Ian; HARRIS, Chris; HAMMOND, Benjamin"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 1,6,CHN2,06:28.7,"ZHANG, Liangliang; YANG, Jie; QU, Xiaoming; ZHOU, Yinan"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,1,AUS2,06:10.3,"LOCKWOOD, William; LOCH, Samuel; PURNELL, Nicholas; DUNKLEY-SMITH, Joshua"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,2,AUS1,06:12.0,"RYAN, Matthew; MARBURG, James; MCKENZIE MCHARG, Cameron; HEGERTY, Francis"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,3,NZL1,06:12.4,"O'NEILL, Sean; BURSON, Hamish; URU, Jade; EADE, David"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,4,GER1,06:13.7,"BERTRAM, Rene; URBAN, Jochen; KAEUFER, Urs; EICHNER, Florian"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,5,GER3,06:15.6,"BOHNEKAMP, Hendrik; KUFFNER, Andreas; BRAUN, Anton; BECHLER, Bastian"
2010 World Rowing Cup II,M4-,Men's Four - Semifinal,SA/B 2,6,AUS3,06:19.1,"LARKINS, Thomas; BUCKLAND, Brodie; PRAGNELL, Fergus; SWANN, Thomas"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H1,1,NZL,06:26.3,"MURRAY, Eric; BOND, Hamish"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H1,2,GBR2,06:38.5,"NICHOL, Cameron; BURTON, Tom"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H1,3,HUN,06:44.7,"JUHASZ, Adrian; SIMON JR, Bela"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H1,4,AUS,06:50.3,"COUDRAYE, Bryn; GRIMM, Dominic"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H1,5,EGY2,07:06.9,"ZAHRAN, Mahmoud; ABD EL BAKY, Sameh"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H2,1,GBR1,06:35.4,"REED, Pete; TRIGGS HODGE, Andrew"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H2,2,ROU,06:38.5,"MINEA, Ionut; LUCHIAN, Marius"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H2,3,POL,06:42.7,"MATTIK, Maciej; SCHODOWSKI, Zbigniew"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H2,4,CHN,06:58.8,"ZHAO, Jingbin; ZHANG, Lin"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H2,5,UKR1,07:04.2,"KHOLYAZNYKOV, Anton; KLETSKOY, Valentyn"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H3,1,SRB,06:39.2,"MARJANOVIC, Marko; STOJIC, Nikola"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H3,2,RSA,06:39.3,"KEELING, Shaun; DI CLEMENTE, Ramon"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H3,3,GER,06:42.9,"PROTZE, Thomas; DRAHOTTA, Felix"
2010 World Rowing Cup II,M2-,Men's Pair - Heat,H3,4,EGY1,06:47.0,"YEHIA, El Bakry; ABDALSHAFY, Akrm"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,1,NZL,06:30.1,"MURRAY, Eric; BOND, Hamish"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,2,GBR1,06:30.8,"REED, Pete; TRIGGS HODGE, Andrew"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,3,SRB,06:43.5,"MARJANOVIC, Marko; STOJIC, Nikola"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,4,ROU,06:46.1,"MINEA, Ionut; LUCHIAN, Marius"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,5,GBR2,06:46.6,"NICHOL, Cameron; BURTON, Tom"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FA,6,RSA,06:56.4,"KEELING, Shaun; DI CLEMENTE, Ramon"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,1,AUS,06:49.8,"COUDRAYE, Bryn; GRIMM, Dominic"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,2,POL,06:51.0,"MATTIK, Maciej; SCHODOWSKI, Zbigniew"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,3,GER,06:56.4,"PROTZE, Thomas; DRAHOTTA, Felix"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,4,HUN,06:57.4,"JUHASZ, Adrian; SIMON JR, Bela"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,5,EGY1,07:08.0,"YEHIA, El Bakry; ABDALSHAFY, Akrm"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FB,6,UKR,07:11.5,"KHOLYAZNYKOV, Anton; KLETSKOY, Valentyn"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FC,1,EGY2,07:16.7,"ZAHRAN, Mahmoud; ABD EL BAKY, Sameh"
2010 World Rowing Cup II,M2-,Men's Pair - Final,FC,2,CHN,07:25.7,"ZHAO, Jingbin; ZHANG, Lin"
2010 World Rowing Cup II,M2-,Men's Pair - Repechage,R,1,AUS,06:45.5,"COUDRAYE, Bryn; GRIMM, Dominic"
2010 World Rowing Cup II,M2-,Men's Pair - Repechage,R,2,UKR1,06:50.6,"KHOLYAZNYKOV, Anton; KLETSKOY, Valentyn"
2010 World Rowing Cup II,M2-,Men's Pair - Repechage,R,3,EGY1,06:51.4,"YEHIA, El Bakry; ABDALSHAFY, Akrm"
2010 World Rowing Cup II,M2-,Men's Pair - Repechage,R,4,CHN,06:51.5,"ZHAO, Jingbin; ZHANG, Lin"
2010 World Rowing Cup II,M2-,Men's Pair - Repechage,R,5,EGY2,07:24.4,"ZAHRAN, Mahmoud; ABD EL BAKY, Sameh"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,1,NZL,06:46.4,"MURRAY, Eric; BOND, Hamish"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,2,SRB,06:52.3,"MARJANOVIC, Marko; STOJIC, Nikola"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,3,ROU,06:55.2,"MINEA, Ionut; LUCHIAN, Marius"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,4,AUS,06:55.6,"COUDRAYE, Bryn; GRIMM, Dominic"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,5,GER,06:56.7,"PROTZE, Thomas; DRAHOTTA, Felix"
2010 World Rowing Cup II,M2-,Men's Pair - Semifinal,SA/B 1,6,UKR1,07:14.7,"KHOLYAZNYKOV, Anton; KLETSKOY, Valentyn"
