competition,event,race,code,position,nationality,time,crew
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,3,GRE,06:51.3,"KONSOLAS, Georgios; AFENTOULIS, Nikolaos"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,4,POR,07:03.4,"FERNANDES DA VEIGA, Paulo; GONCALVES COELHO, Nuno"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,5,CRO,07:07.3,"KAVCIC, Kresimir; FILIPOVIC, Marijan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H3,1,SUI,06:42.5,"NIEPMANN, Simon; TRAMER, Lucas"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H3,2,HUN,06:52.1,"LORINCZY, Peter; VERMES, Peter"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H3,3,ITA,06:53.5,"OPPO, Stefano; DI GIROLAMO, Paolo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H3,4,DEN,07:12.6,"MICHAELSEN, Christian; PATSCHEIDER, Thorbjoern"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,1,SUI,06:29.6,"NIEPMANN, Simon; TRAMER, Lucas"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,2,GBR,06:30.3,"SCRIMGEOUR, Sam; CLEGG, Jonathan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,3,NED,06:30.5,"WEERKAMP, Tim; DE GRAAF, Ivo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,4,FRA,06:33.9,"DURET, Clement; ONFROY, Theophile"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,5,GER,06:34.0,"NEUMANN, Torben; TEMEL, Can"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FA,6,ITA,06:34.6,"OPPO, Stefano; DI GIROLAMO, Paolo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,1,CZE,06:33.3,"KOPAC, Jiri; VRASTIL JR, Miroslav"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,2,TUR,06:35.3,"YILMAZ, Cem; YUMRUKAYA, Ahmet"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,3,AUT,06:39.7,"CHERNIKOV, Alexander; TABORSKY, Matthias"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,4,POR,06:40.7,"FERNANDES DA VEIGA, Paulo; GONCALVES COELHO, Nuno"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,5,GRE,06:40.9,"KONSOLAS, Georgios; AFENTOULIS, Nikolaos"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FB,6,HUN,06:52.0,"LORINCZY, Peter; VERMES, Peter"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FC,1,CRO,06:53.6,"KAVCIC, Kresimir; FILIPOVIC, Marijan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Final,FC,2,DEN,06:57.5,"MICHAELSEN, Christian; PATSCHEIDER, Thorbjoern"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Repechage,R1,1,GER,06:43.6,"NEUMANN, Torben; TEMEL, Can"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Repechage,R1,2,POR,06:46.6,"FERNANDES DA VEIGA, Paulo; GONCALVES COELHO, Nuno"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Repechage,R1,3,AUT,06:47.6,"CHERNIKOV, Alexander; TABORSKY, Matthias"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Repechage,R1,4,DEN,06:50.0,"MICHAELSEN, Christian; PATSCHEIDER, Thorbjoern"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Repechage,R1,5,CRO,06:51.3,"KAVCIC, Kresimir; FILIPOVIC, Marijan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,1,NED,06:35.0,"WEERKAMP, Tim; DE GRAAF, Ivo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,2,GBR,06:35.6,"SCRIMGEOUR, Sam; CLEGG, Jonathan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,3,GER,06:38.8,"NEUMANN, Torben; TEMEL, Can"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,4,GRE,06:41.9,"KONSOLAS, Georgios; AFENTOULIS, Nikolaos"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,5,AUT,06:45.9,"CHERNIKOV, Alexander; TABORSKY, Matthias"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 1,6,HUN,06:49.6,"LORINCZY, Peter; VERMES, Peter"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,1,SUI,06:33.1,"NIEPMANN, Simon; TRAMER, Lucas"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,2,FRA,06:34.7,"DURET, Clement; ONFROY, Theophile"
