Race No,Event Name,Race Type,Position,Lane Number,Club Code,Club Name,Crew List
28,Lightweight Single Sculls,Heat 1,3,6,ZNU,NUI Galway BC,Tom Dillon
28,Lightweight Single Sculls,Heat 1,4,5,SCU,Strathclyde U,Ben Parsonage
29,Lightweight Single Sculls,Heat 2,1,2,ZQU,Queens Belfast,Miles Taylor
29,Lightweight Single Sculls,Heat 2,2,4,CHR,Christchurch RC,Joseph Livy
29,Lightweight Single Sculls,Heat 2,3,5,TRC,Thames RC,Philip Lee
29,Lightweight Single Sculls,Heat 2,4,3,EAR,Earith SC,Alexander Carter
30,Single Sculls Tier 2,Final,1,2,IMP,Imperial Coll,Harry Uglow
30,Single Sculls Tier 2,Final,2,6,WBS,Windsor Boys,Sam Bodkin
30,Single Sculls Tier 2,Final,3,1,BRX,Broxbourne RC,Matthew Day
30,Single Sculls Tier 2,Final,4,5,UTC,Upper Thames RC,Thomas Carter
30,Single Sculls Tier 2,Final,5,4,BAU,Bath Univ,Thomas Stace
30,Single Sculls Tier 2,Final,6,3,TSS,Tideway Sc Sch,Jack Keech
31,Women's Quad Sculls Tier 2,Final,1,4,IEL,Isle of Ely RC,"Helena O'Donnell, Rebecca Welch, Kate Lyster, Molly Johnson"
31,Women's Quad Sculls Tier 2,Final,2,2,RDU (A),Reading Univ,"Poppy Durkan, Megan Park, Lucy Ryan, Loretta Grove"
31,Women's Quad Sculls Tier 2,Final,3,7,SPG,St Paul's Girls,"Helen Elizabeth Kirkpatrick, Lara Emma Catherine Valt, Nicola kate Lawless, Aurelia Cowan"
31,Women's Quad Sculls Tier 2,Final,4,5,RDU (B),Reading Univ,"Anna Smart, Maddie Archer, Amy Fuller, Victoria Norton"
31,Women's Quad Sculls Tier 2,Final,5,6,RDU (C),Reading Univ,"Molly Regan, Gina Tarpey, Amber Mayall, Helen Such"
31,Women's Quad Sculls Tier 2,Final,6,1,GUI,Guildford RC,"Jackie Johnson, Emma-Lucy Pinchbeck, Lenka Higley, Annika Gleichmann"
31,Women's Quad Sculls Tier 2,Final,7,3,DUR,Durham ARC,"Elizabeth Law, Taya Parker-Mian, Emma Lyons, Elizabeth Holmes"
32,Women's Coxless Fours Championship,Final,1,6,IMP/ ULO,Imperial Coll/ London Univ,"Alessandra French (ULO), Isobel Powell (IMP), Charlotte Hodgkins-Byrne (ULO), Georgia Statham (ULO)"
32,Women's Coxless Fours Championship,Final,2,1,DUB (A),Durham Univ,"Rebekka Hodson, Helena Barton, Lauren Irwin, Hanna Gailis Inntjore"
32,Women's Coxless Fours Championship,Final,3,5,IMP,Imperial Coll,"Natalie Long, Joanna Thom, Meghann Jackson, Maddalena Ardissino"
32,Women's Coxless Fours Championship,Final,4,3,TSS (B),Tideway Sc Sch,"Rachel Francis, Charlotte Dexter, Rowi Mortimer, Anna Terry"
32,Women's Coxless Fours Championship,Final,5,4,ZCR,Commercial RC,"martina bracken, edel gary, naomi fearon, ruth morris"
32,Women's Coxless Fours Championship,Final,6,7,ZCK,Cork BC,"Frances Judge, Linda Murphy, Grace Collins, Lisa Dilleen"
32,Women's Coxless Fours Championship,Final,7,2,DUB (B),Durham Univ,"Lucinda Ellaway-Bell, Ellen Roberts, Amy Polglase, Helena Louise Lang"
33,Coxed Fours Championship,Final,1,2,IMP (A),Imperial Coll,"Oliver Hines, Tristan Vouilloz, Toby Heaton, Jack Walsh, [Cox] Christopher Au"
33,Coxed Fours Championship,Final,2,1,SAN,St Andrew BC,"Gregor Maxwell, Findlay Ralley, Kieran Tierney, Graham Ord, [Cox] Helena Watson"
33,Coxed Fours Championship,Final,3,6,ZNU (B),NUI Galway BC,"Brion O'Rourke, Eoghan Whittle, Jack Bennett, Oisin Nolan, [Cox] Barry Murphy"
33,Coxed Fours Championship,Final,4,3,ZDU (A),Dublin University BC,"Liam Hawkes, Josh Norton, Liadov Andrej, Patrick Moreau, [Cox] Hamilton Rowan"
33,Coxed Fours Championship,Final,5,5,MBC (A),Molesey BC,"Andy Warren, Rhys Westall, Kenneth Gray, Andrew Turner, [Cox] Jonna de Vries"
33,Coxed Fours Championship,Final,6,4,ZCD,University Coll Dublin RC,"Sam Bolger, Andrew Griffin, Eoin Gleeson, Ross Thompson, [Cox] Orlagh Reid"
34,Eights Tier 2,Final,1,5,ETN (A),Eton Coll,"Charles Pearson, Alexander Boardman, Francis Baring, Noah Norman, Patrick Adams, Felix Drinkall, Oscar Carr-Middleton, Max Ridgewell, [Cox] George Cozens"
34,Eights Tier 2,Final,2,4,SAA,Star & Arrow,"Tom Wiblin, Patrick George, Harry Higginbottom, James Fox, Jonathan Cameron, Callum Johnson, Chris Ray, Bertie Woodward-Fisher, [Cox] Samuel Royston"
34,Eights Tier 2,Final,3,3,RAD (A),Radley Coll,"Freddie Corner, Freddie Elwes, Max Dunlap, William Heagerty, Luke Miles, Archie McChesney, Max Senior, Edward Rae Smith, [Cox] Matthew Dawson"
34,Eights Tier 2,Final,4,2,TRC (B),Thames RC,"Simon Moss, Joe Abdalla, Nicholas Pusinelli, Andrew Gordon, Charlie Bouch, Sam Thornton, Huw Jones, Sebastien Tyrie, [Cox] Emily Burge"
34,Eights Tier 2,Final,5,6,AGE (A),Agecroft RC,"Andrew Thomas, Tristan Hollis, Thomas Buckley, Rory O'Neill, Sean Szekely, John Ford, Benedict Adey-Johnson, Jack Roe, [Cox] Lucy Masters"
34,Eights Tier 2,Final,6,7,TSS,Tideway Sc Sch,"Rob Hogan, Sean Blake, Robert Muscroft, Lewis Van Diggele, Robert Hodgson, Samuel Anderson, Edward Beckett, Kieran Brown, [Cox] Ruaridh MacPhee"
35,Eights Tier 4,Final,1,4,RCH (A),Royal Chester,"Fraser Morgan, Henry William McGarva, Peter Dean, Daniel Weatherly, Harrison Hunter, Thomas Rushton, Alexander Constantinou, John Hedley McGarva, [Cox] Abigail Sanders"
35,Eights Tier 4,Final,2,3,NRC,Nottingham RC,"Hamish Hughes, Toby Piggott, Matthew Bowles, Adam Wright, George Rymell, Stephen Bennett, Ben Farrell, James Doleman, [Cox] Sophie Jones"
35,Eights Tier 4,Final,3,5,JEO,Jesus Coll Oxf,"John Gardner, Iolo Jones, Robert Strachan, Hugo Markland, Thomas de Sousa, Keir Bowater, Andrew Everall, Tom Commins, [Cox] Iona Gilby"
35,Eights Tier 4,Final,4,6,LEE (A),Leeds RC,"Androioannis Lorentzatos, Mark Tarrant, Lewis Marston, Conor Vincent, James Tipper, Daniel Humphrey, Vasileios Athanasiadis, Theodosios Travlos, [Cox] Jasmine Jones"
35,Eights Tier 4,Final,5,7,EXU (B),Exeter Univ,"Fergus Shegog, Cameron Murray, Ben Shaw, James Manton, James Shaw, John Hunt, Angus Irvine, Charles Scott, [Cox] Edward Mills"
35,Eights Tier 4,Final,6,2,DUB,Durham Univ,"Matthew Roe, Harry Cox, Lachie Ives, George Cansdale, Lloyd Barron-Robinson, Christian Palmer, Lucas Rodd, Benjamin Evans, [Cox] Fiona Hardyman"
36,Coxed Fours Tier 3,Final,1,5,DUB (A),Durham Univ,"Max Robinson, Oscar Lindsay, Danylo Gorenkin, Leon Langmead, [Cox] Eleanor Robson"
36,Coxed Fours Tier 3,Final,2,4,DUB (B),Durham Univ,"Chris Rimmer, Joseph Johansen, Patrick Kinch, James Vogel, [Cox] Benjamin Rich"
36,Coxed Fours Tier 3,Final,3,6,SUA (A),Stratford Avon,"Edward Lewry, Thomas Coles, Ben Twiney, Christopher Thomas, [Cox] Eleanor Willetts"
36,Coxed Fours Tier 3,Final,4,3,ZCK,Cork BC,"Tomas Power, Sean O'Sullivan, Joe Kearney, Neil McCarthy, [Cox] Siobhan Egan"
37,Coxless Fours Tier 5,Final,1,4,RAM,Radley Mariners,"R Gearing, Finlay Gronmark, Alexander Richardson, T Gearing"
37,Coxless Fours Tier 5,Final,2,6,CFC (A),Cardiff City RC,"Shane Ahearne, Matthew Nicholls, Rhys Paul, Adrien Grubb"
37,Coxless Fours Tier 5,Final,3,5,TYN (A),Tyne RC,"Serkan Turkmen, A J Musgrave, Danny Hunter, Henry Galbraith"
37,Coxless Fours Tier 5,Final,4,3,DAT,Dart Totnes ARC,"Harry Walker, Matthew Heming, Tom Walton, Harrison Skinner"
37,Coxless Fours Tier 5,Final,5,2,LLA,Llandaff RC,"Edward Lewis, Alexander Lawrence, Matthew Virden, Steffan Evans"
37,Coxless Fours Tier 5,Final,6,7,CNN,Cambridge 99,"Nathan Ryan, Friso van Gent, Robert Sargent, Rhidian Maltby"
38,Coxed Fours Tier 5,Final,1,6,GLU,Glasgow Univ,"Morgan Serpell, Calum Sinclair, Iain Mclaughlin, Gerard Gallagher, [Cox] Rebecca Vest"
38,Coxed Fours Tier 5,Final,2,5,CNN,Cambridge 99,"Edward Gardiner, Dominic Bennett, Nicholas Thorn, Helge Dietert, [Cox] Lily Chan"
38,Coxed Fours Tier 5,Final,3,4,AGE (A),Agecroft RC,"Adam Godfrey, David Bentham, Nick Morrey, Oliver Uttley, [Cox] Annabel Pooley"
38,Coxed Fours Tier 5,Final,4,3,BOU,Bournemouth Un,"Liam Steele, Jacob Manson, James Lambton-Heys, Gian-Luc Angiolini, [Cox] Laura Sutton"
38,Coxed Fours Tier 5,Final,5,2,WAR,Warwick BC,"Andrew Collett, Michael Hourigan, Patrick Hourigan, Philip Tonkin, [Cox] Samantha Wesley"
38,Coxed Fours Tier 5,Final,6,7,RCH,Royal Chester,"Matthew Webb, David Barstow, Harry Ballard, Jonathan Jamshed, [Cox] Jessica Bromley"
39,Women's Coxed Fours Championship,Final,1,5,LEA (B),Lea RC,"Rebecca Minnich, Lucy Stackpool-Moore, Lizzie Chapman, Caroline Newbury, [Cox] Nicola Shepherd"
39,Women's Coxed Fours Championship,Final,2,1,GLT (A),Godolphin Lat,"Elizabeth Gay, Clare Peterson, Carlotta Blamey-Beccaria, Emily Lindberg, [Cox] Libby Ross"
39,Women's Coxed Fours Championship,Final,3,4,AKN (B),Auriol Ken,"Joanna Innes-Hopkins, Angela Hitchens, Katherine Pankhurst, Tamara Zwaagstra, [Cox] Chris Williamson"
39,Women's Coxed Fours Championship,Final,4,2,IMP,Imperial Coll,"Heather Walker, Rachel Snow, Eleanor Disney, Philippa England, [Cox] Rebecca Rowe"
39,Women's Coxed Fours Championship,Final,5,6,COX (B),Oxford City,"Louisa Taylor, Lucy Martin, Caitlin Armstrong, Corinne Larkworthy, [Cox] Suzanna Drohan"
39,Women's Coxed Fours Championship,Final,6,3,DUB (A),Durham Univ,"Francesca Quinn, Gabriella Hatfield, Megan Lillington, Kate Lillington, [Cox] Abigail Riley"
40,Coxless Pairs Tier 2,Final,1,3,IMP (C),Imperial Coll,"Romain Barnoud, Edward Rees"
40,Coxless Pairs Tier 2,Final,2,6,SCU (B),Strathclyde U,"Edward Ayton, Calum Young"
40,Coxless Pairs Tier 2,Final,3,5,REX (A),Rex BC,"George Middlehurst, Patrick Hanratty"
40,Coxless Pairs Tier 2,Final,4,2,ZUC (B),University Coll Cork RC,"Evan White, Julian Larkin"
40,Coxless Pairs Tier 2,Final,5,4,PTR (A),Putney Town,"Henry Gill, Alistair Blair"
40,Coxless Pairs Tier 2,Final,6,7,ZNU,NUI Galway BC,"Barry Murphy, Conor Egan"
41,Coxless Fours Championship,Final,1,5,LDR (A),Leander Club,"Barnaby Stentiford, Finn Stevenson, Sam Twine, George Rossiter"
41,Coxless Fours Championship,Final,2,3,EHU,Edinburgh Univ,"Matthew Christie, Oliver Wilkes, Calum Irvine, Rufus Scholefield"
41,Coxless Fours Championship,Final,3,4,LRC (A),London RC,"Matthew Cummings, Nicholas Parnell, Stephen Griffiths, Dominic Parnell"
41,Coxless Fours Championship,Final,4,7,SIP,Sport Imperial,"Matthew Pointing, Joshua Butler, Sam Butler, Matthew Whaley"
41,Coxless Fours Championship,Final,5,6,ZNU (B),NUI Galway BC,"Liam Keane, Mantis Pukelis, Kevin Nevile, Richard Bennett MBC (A) 4- Molesey BC Sam Tuck, Benjamin Witting, Jens Clausen, Lewis Moran"
42,Women's Eights Tier 2,Final,1,5,ZDT (B),Dublin U Ladies,"Nora Fisher, Sarah Kelly, Aoife Corcoran, Caoimhe Dempsey, Aoife Byrne, Gemma Foley, Laura Walsh, Sarah Higgins, [Cox] Aoife Reid"
42,Women's Eights Tier 2,Final,2,4,STN,Staines BC,"Suzanne Cole, Georgina Watling, Rachel Brown, Claire Couves, Sophie Richards, Catherine Long, Maddison Shoolbread, Emma Corless, [Cox] Anna Cackett"
42,Women's Eights Tier 2,Final,3,3,VRC (A),Vesta RC,"Cameo Choquer, Victoria Carroll, Fiona Robinson, Cherry Fermor, Hannah Futter, Clare Wood, Fiona Palamarczuk, Kirsty McGregor-Ritchie, [Cox] Lauren Hardcastle"
42,Women's Eights Tier 2,Final,4,2,CUR,Curlew RC,"Rebecca Jackson, Inga Jirgensone, Lianne Abbott, Anna Palsdottir, Claire Williams, Gemma Barker, Charlotte Waghorne, Jessica Phillips, [Cox] Alexander Smith"
42,Women's Eights Tier 2,Final,5,6,YRK,York City RC,"Louise Hawkyard, Helen Waller, Jessica Pidgeon, Amy Newton, Edith Bourne, Rachel Witherick, Michelle Alexander, Joselyn Rankin, [Cox] Tabatha Cole"
42,Women's Eights Tier 2,Final,6,7,COX (B),Oxford City,"Caroline Barnes, Isobel Diment, Emily Lyons, Ella Cope, Tabitha Peel, Jodie Buswell, Gwenn-AÃ«l CarrÃ©, Naomi Sharma, [Cox] Dhaval Desai"
43,Women's Coxless Pairs Tier 2,Final,1,4,LEH,Lady E Holles,"Catherine King, Gemma King"
43,Women's Coxless Pairs Tier 2,Final,2,3,VRC,Vesta RC,"Robyn McGregor-Ritchie, Ruth McKellar"
43,Women's Coxless Pairs Tier 2,Final,3,2,ZNU (A),NUI Galway BC,"Georgina Deane, Sadhbh O'Connor"
43,Women's Coxless Pairs Tier 2,Final,4,6,ZNU (B),NUI Galway BC,"Nuala Landers, Alison Mooney"
43,Women's Coxless Pairs Tier 2,Final,5,5,TRC (B),Thames RC,"Eleanor Garratt-Smith, Lowenna Coad"
43,Women's Coxless Pairs Tier 2,Final,6,7,LEA (C),Lea RC,"Rachel Lund, Valentina Futoryanova"
44,Women's Coxed Fours Tier 3,Final,1,5,PTR (B),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
44,Women's Coxed Fours Tier 3,Final,2,2,ZGY (A),Galway RC,"Kellie Wade, Femhe Caffrey, Claire Elwood, Fiona Murtagh, [Cox] Sarah Lynch"
44,Women's Coxed Fours Tier 3,Final,3,4,LLA,Llandaff RC,"Catherine Raine, Grace Mahony, Emily Brace, Suzanne Erith, [Cox] Richard Summers"
44,Women's Coxed Fours Tier 3,Final,4,6,GRO,Grosvenor RC,"Siobhan Barnard, Laura Champion, Jessica Hulson, Jess Fitzpatrick, [Cox] Elizabeth Williams"
44,Women's Coxed Fours Tier 3,Final,5,3,LEE (A),Leeds RC,"Jessica Brush, Charlotte Milligan, Ella Sadler-Andrews, Emily Holt, [Cox] Harin Wijayathunga"
44,Women's Coxed Fours Tier 3,Final,6,7,TSS (A),Tideway Sc Sch,"Jennifer Scrine, Rachel Scanlan, Kate Thorne, Katya De Gentile-Williams, [Cox] Jessica Saunders"
45,Women's Single Sculls Tier 2,Final,1,6,TRC,Thames RC,Suzi Perry
45,Women's Single Sculls Tier 2,Final,2,4,TRC,Thames RC,Jordan Cole-Hossain
45,Women's Single Sculls Tier 2,Final,3,5,PBD,Poplar B&D,Phoebe Ohene
45,Women's Single Sculls Tier 2,Final,4,3,WRR,Worcester RC,Catherine Jackson
45,Women's Single Sculls Tier 2,Final,5,2,LEH,Lady E Holles,Elizabeth Witt
46,Double Sculls Tier 3,Final,1,2,RDU,Reading Univ,"Dominic Tope, Vincent DeLuca"
46,Double Sculls Tier 3,Final,2,6,HUN,Huntingdon BC/ Leeds Univ,"Joshua Davies (HUN), Fergus Mitchell-Dwelly (LDU)"
46,Double Sculls Tier 3,Final,3,5,CFC,Cardiff City RC/ Cardiff Met U...,"Jacob Bryning, Ollie Gibbons"
46,Double Sculls Tier 3,Final,4,4,TKC,Team Keane,"Paul Keane, Jonathan Brown"
46,Double Sculls Tier 3,Final,5,3,HCS,Durham Univ/ Newcastle Univ,"Lorence Jordan, Patrick Morgan-Jones"
47,Double Sculls Championship,Final,1,2,DUB/ NEW,Durham Univ/ Newcastle Univ,"Hugo Coussens (DUB), Oliver John Varley (NEW)"
47,Double Sculls Championship,Final,2,1,ZSN/ ZUC,Shandon BC/ University Coll Co...,"Dan Begley (ZSN), Ronan Byrne (ZUC)"
47,Double Sculls Championship,Final,3,7,ZSN (B),Shandon BC,"Stephen O'Sullivan, Colm Hennessy"
47,Double Sculls Championship,Final,4,6,AKN,Auriol Ken,"W Hugh MacKworth-Praed, Elliot Barton"
47,Double Sculls Championship,Final,5,4,VRC,Vesta RC,"Simon Woodfine, Harry Bond"
47,Double Sculls Championship,Final,6,5,ZDJ,Castleconnell Boat Club,"Shane Haugh, Fionnan Crowley"
47,Double Sculls Championship,Final,7,3,ELZ/ FUL,Elizabethan BC/ Fulham Reach,"Pierre Thomas (FUL), Tom Fielder (ELZ)"
48,Junior 18 Quad Sculls,Heat 1,1,4,CCS,Claires Court,"Jack Jesseman, Henry Osborne, Callum Perera, Oliver Costley"
48,Junior 18 Quad Sculls,Heat 1,2,2,TSS (A),Tideway Sc Sch,"Laurence Joss, Cameron Christie, Luke Hatteland-Dunn, Marcus Jonas"
48,Junior 18 Quad Sculls,Heat 1,3,3,SAA (A),Star & Arrow,"Christopher Daniell, Oliver Whitfield, David Few, Matthew Peters"
48,Junior 18 Quad Sculls,Heat 1,4,5,GLB (B),Globe RC,"Archie Kirk, James Watson-Gandy, Ronald Richardson, Peter Howard"
48,Junior 18 Quad Sculls,Heat 1,5,6,HCS,Hereford Cathl,"Charles Powell, Tom Hutchinson, Sebastian Dixon, Phoenix Lester"
49,Junior 18 Quad Sculls,Heat 2,1,3,GLB (A),Globe RC,"Sam Baker, Callum Sullivan, Jake Offiler, Dominic Sullivan"
49,Junior 18 Quad Sculls,Heat 2,2,6,WES,Westminster Sch,"George Hockey, Will Dubin, William Allen, Pedro Santos"
49,Junior 18 Quad Sculls,Heat 2,3,2,SAA (B),Star & Arrow,"Benjamin Smeeton, Joe Willis, Hadley Butcher, Miles Devereux"
49,Junior 18 Quad Sculls,Heat 2,4,5,TSS (C),Tideway Sc Sch,"Stefan Okuka, Ambrose Mac-Fall, Alexander Jonas, John Lewis"
50,Junior 18 Quad Sculls,Heat 3,1,3,MHD (A),Maidenhead RC,"Harrison Rowe, Elliott Kemp, Edoardo Marshall, Victor Kleshnev"
50,Junior 18 Quad Sculls,Heat 3,2,4,LEA,Lea RC,"Anthony Duncalf, Morton Sommerville Yesufu, Becan Donald, Alexander Badcott"
50,Junior 18 Quad Sculls,Heat 3,3,2,LTU,Latymer Upper,"Oliver McChesney, Flynn Traeger, Matthew Morgan, James Phelps"
50,Junior 18 Quad Sculls,Heat 3,4,5,MHD (B),Maidenhead RC,"William Smith, Daniel Somerville, Sean O'Mahony, Ethan O'Connor"
51,Women's Double Sculls Championship,Final,1,7,ZFS (B),Skibereen RC,"Aoife Casey, Denise Walsh"
51,Women's Double Sculls Championship,Final,2,4,EXU,Exeter Univ,"Oluwaseun Olusanya, Susannah Duncan"
51,Women's Double Sculls Championship,Final,3,5,SAA,Star & Arrow,"Kesiah Roe, Saskia Devereux"
51,Women's Double Sculls Championship,Final,4,6,ULO,London Univ,"Emily Wilks, Catherine Ador"
51,Women's Double Sculls Championship,Final,5,1,TYN (A),Tyne RC,"Laura Clack, Amy Bowman"
51,Women's Double Sculls Championship,Final,6,2,TSS (A),Tideway Sc Sch,"Emily Walters, Bethan Walters"
51,Women's Double Sculls Championship,Final,7,3,MBC (B),Molesey BC,"Alika-Peach Molloy, Claire McKeown"
52,Coxless Fours Tier 3,Final,1,4,NOW (B),Northwich RC,"Joseph Anderson, Finnian Lawton, Harry Taylor, George Lawton"
52,Coxless Fours Tier 3,Final,2,5,CBR (B),Bristol City,"Cameron Smith, James Wadsworth, Will Japp, Edward Piercy"
52,Coxless Fours Tier 3,Final,3,6,MHD,Maidenhead RC,"Robert Smith, William Cranston, Tim Wallis-Caddell, Ross McCoriston"
52,Coxless Fours Tier 3,Final,4,3,CUR (A),Curlew RC,"Connor Austin, Toby Churchus, Alexander Gibbons, Michael Scott"
52,Coxless Fours Tier 3,Final,5,7,MBC (B),Molesey BC,"Robin Mould, Aaron Wilkins, Adam Heayberd, William Johnston"
52,Coxless Fours Tier 3,Final,6,2,RDG (B),Reading RC,"Gareth Williams, S Clarke, Robert Leech, Charlie Newbould"
53,Women's Eights Tier 4,Final,1,3,UOC,Chester Univ,"Sophie Bell, Leah Hoggarth, Mairead Flannery, Millie Frith, Roberta Coll, Holly Ellen Ringland, Sarah Brodie-Browne, Charlie Shaw, [Cox] Eira Marie Hagland"
53,Women's Eights Tier 4,Final,2,4,UYO,York Univ,"Fiona Collins-taylor, Isla McAully, Alice Glenister, Amanda Jackson, Carla Enrica Foglia, Josie Phillipps, Abigayil Hopkins-Flanagan, Katherine Hill, [Cox] Ellen Kelly"
53,Women's Eights Tier 4,Final,3,5,USU,Surrey Univ,"Sophie Hossack, Naomi Coleman, Jenna Charman, Fiona Norris, Megan Moloney, Jasmine Bone, Eleanor Stevens, Rachel Pritchard, [Cox] Lauren Rathbone"
53,Women's Eights Tier 4,Final,4,2,VRC (B),Vesta RC,"BRIGETTE HAMMER, Claire Mackay, Stephanie Withers, Chloe Speller, Mikaela Blowing, Sophie Hoult, Alice Hoskins, Tahlia Madden, [Cox] Charlotte Kippax"
53,Women's Eights Tier 4,Final,5,6,IMP,Imperial Coll,"Tosca Cederberg Marmefelt, Georgia Grand, Georgiana Malin, Alix Fenies, Geraldine Regnier, Martha Parkinson, Jessica Olive, Agnese Grison, [Cox] Catherine Bowden"
54,Single Sculls Tier 4,Final,1,4,IEL,Isle of Ely RC,George Bourne
54,Single Sculls Tier 4,Final,2,6,ZCK,Cork BC,Barry O'Flynn
54,Single Sculls Tier 4,Final,3,3,MBC,Molesey BC,Sylvain Boyer
54,Single Sculls Tier 4,Final,4,2,PMB,Pembroke Oxford,Edward Rolls
54,Single Sculls Tier 4,Final,5,5,RDU,Reading Univ,Luke Reiser
54,Single Sculls Tier 4,Final,6,7,UTC,Upper Thames RC,Robert Moles
55,Women's Single Sculls Tier 4,Final,1,5,BAU,Bath Univ,Laura Macro
55,Women's Single Sculls Tier 4,Final,2,3,GRO,Grosvenor RC,Lucy Iball
55,Women's Single Sculls Tier 4,Final,3,6,GRF,Greenbank,Sarah E Lewis
55,Women's Single Sculls Tier 4,Final,4,7,GHP,Glos Hartpury,Bryony Lawrence
55,Women's Single Sculls Tier 4,Final,5,4,TSS,Tideway Sc Sch,Gabby Cutler
55,Women's Single Sculls Tier 4,Final,6,2,ZQL,Queens U Ladies,Olivia Blundell
56,Women's Double Sculls Tier 3,Final,1,4,TSS (C),Tideway Sc Sch,"Thea Adamson, Elizabeth Williams"
56,Women's Double Sculls Tier 3,Final,2,5,LER,Leicester RC,"Aoife Holohan, Louise TORT"
56,Women's Double Sculls Tier 3,Final,3,3,MBC (A),Molesey BC,"Hannah Foxley, Marie Grant"
56,Women's Double Sculls Tier 3,Final,4,2,BAU,Bath Univ,"Megan Stoker, Carlotta Broglia"
56,Women's Double Sculls Tier 3,Final,5,6,IMP,Imperial Coll,"Jowita Mieszkowska, Kathryn Barnhill"
56,Women's Double Sculls Tier 3,Final,6,7,UBI,Birmingham Univ,"Isobel Haig, Emily Hutchinson"
57,Eights Tier 3,Heat 1,1,4,AGE (B),Agecroft RC,"Andrew Thomas, Rory O'Neill, Thomas Buckley, Tristan Hollis, Sean Szekely, John Ford, Benedict Adey-Johnson, Jack Roe, [Cox] Lucy Masters"
57,Eights Tier 3,Heat 1,2,3,WRR,Worcester RC,"David Hopkins, James Riach, Alex Kearns, Jack McDonald, Ryan Pettifer, William Fraser, Joshua Rogers, Timothy Woodman, [Cox] Molly Elkins"
57,Eights Tier 3,Heat 1,3,1,IMP,Imperial Coll,"Ian Kegler, James Wilson, David Simmonds, Matthew Layton, Ben Hambrook, Matthew McElroy, Harry Uglow, Harry Knights, [Cox] Charlotte Grayson"
57,Eights Tier 3,Heat 1,4,7,SOU,S'hampton Univ,"Edward Trigle, Sam Diserens, Louis Gautier, Gregory Sturgess, Finn McGahan, Tomas Sidorowicz, Christopher Sim, Fraser Jarrett, [Cox] Molly Brown"
57,Eights Tier 3,Heat 1,5,6,MAR (A),Marlow RC,"Matthew Smith, James Busby, Mark Ruinet, Christopher Renwick, Kingsley McDiarmid, Thomas Rendell, David Brindle, Timothy Mitchell, [Cox] Claudia Russell"
57,Eights Tier 3,Heat 1,6,5,VRC (B),Vesta RC,"Sven Radcke, Oliver Lumley, Michael Warren, Giovanni Galavotti, Christopher Clements, Henry Primarolo, Robert Donald, William Pearson, [Cox] Charlotte Kippax"
58,Eights Tier 3,Heat 2,1,6,UBR (A),Bristol Univ,"Arthur Smith, Harry Rosen, Alex Heslop, James Foster, John Allden, Elias Kassell Raymond, Benjamin Slingsby, Carl Cox, [Cox] Johanna Dodgson"
58,Eights Tier 3,Heat 2,2,1,ETN/ RNY (B),Eton Coll/ Navy & Marines,"Oliver Brufal de Melgarejo (ETN), Adam Mombru (ETN), Andy Matheson (RNY), Kuttel Rorke (ETN), Theodore Hall (ETN), Alex Rusis (ETN), Aubrey Warley (ETN), Richard Taylor (ETN), [Cox] Edward Bracey (ETN)"
58,Eights Tier 3,Heat 2,3,5,CNN,Cambridge 99,"Rhidian Maltby, Robert Sargent, Karel Kabelik, Edward Gardiner, Dominic Bennett, Nicholas Thorn, Helge Dietert, Nathan Ryan, [Cox] Lily Chan"
58,Eights Tier 3,Heat 2,4,2,LTU,Latymer Upper,"Saami Tajeddin, Thomas De MeeÃ»s d'Argenteuil, Hamish Lister, Petar Suvajic, David Ferm, Mathew Brett, Ethan Ward, Nicholas Mayhew, [Cox] Ishan Barve"
58,Eights Tier 3,Heat 2,5,4,COX,Oxford City,"Hamish Bowie, William Rogers, Edward Podgorski, Dmitry Nazarenko, George New, Luke Kelly, Harry Robinson, Thomas Briggs, [Cox] Kirstin Anderson"
58,Eights Tier 3,Heat 2,6,3,RAD (B),Radley Coll,"Max Cragoe, Will Farrer-Brown, Theo Metcalf, James Innes-Ker, Tiger Beck, Henry Taylor, William A Brassard, Joshua Beck, [Cox] Christoph Wallendahl"
59,Eights Tier 3,Heat 3,1,2,ZCD (A),University Coll Dublin RC,"Cameron Murphy, Coman O'Connell, Michael Noonan, Mark Doyle, Seamus Kennedy, David Somers, Niall Farrell, James O'Sullivan, [Cox] Shauna Fitz"
59,Eights Tier 3,Heat 3,2,3,RCH (B),Royal Chester,"Fraser Morgan, Henry William McGarva, Peter Dean, Daniel Weatherly, Harrison Hunter, Thomas Rushton, Alexander Constantinou, John Hedley McGarva, [Cox] Abigail Sanders"
59,Eights Tier 3,Heat 3,3,6,TRC (C),Thames RC,"William Hilder, Andrew Curry, Thomas Burnell, Thomas Hoier, Radulf Bertschinger, Alexander Woolley, William Campbell, Alexander Bennett, [Cox] Jennifer Wainer"
59,Eights Tier 3,Heat 3,4,5,CAM,Cambridge City,"Tom Watt, Ashley Mander, Scott O'Donoghue, Paul Fairbairn, Thomas Hetherington, Callum McKenzie, Thomas Shadbolt, Jack Lawlor-Anderson, [Cox] Jess Upton"
59,Eights Tier 3,Heat 3,5,4,TWK,Twickenham RC,"Richard Beard, Tom Messa, Stephen Parker, Adam Berry, Rory Bryant, Alistair Bradley, Wesley MacCabe, John Harfield, [Cox] Emma Feerick"
