Race No,Event Name,Race Type,Position,Lane Number,Club Code,Club Name,Crew List
15,Women's Eights Tier 2,Heat 1,1,3,STN,Staines BC,"Suzanne Cole, Georgina Watling, Rachel Brown, Claire Couves, Sophie Richards, Catherine Long, Maddison Shoolbread, Emma Corless, [Cox] Anna Cackett"
15,Women's Eights Tier 2,Heat 1,2,4,YRK,York City RC,"Louise Hawkyard, Helen Waller, Jessica Pidgeon, Amy Newton, Edith Bourne, Rachel Witherick, Michelle Alexander, Joselyn Rankin, [Cox] Tabatha Cole"
15,Women's Eights Tier 2,Heat 1,3,2,CUR,Curlew RC,"Rebecca Jackson, Inga Jirgensone, Lianne Abbott, Anna Palsdottir, Claire Williams, Gemma Barker, Charlotte Waghorne, Jessica Phillips, [Cox] Alexander Smith"
15,Women's Eights Tier 2,Heat 1,4,6,CBR (A),Bristol City,"Caitlin Bloom, Rebecca Perkins, Sofia Deambrosi, Emma Bawden, Lauren O'Neill, Jenny Chapman, Chloe Farrar, Rachel Wilson, [Cox] Isobel Stone"
15,Women's Eights Tier 2,Heat 1,5,1,AKN (A),Auriol Ken,"Anne Schieck, Marianna Raffaele, Mateja Sborchia, Kathleen Cyr, Kirsty Page, Amanda Piggot, Sophie Lovett, Catherine Edwards, [Cox] Isy Marshall"
15,Women's Eights Tier 2,Heat 1,6,5,ZDT (C),Dublin U Ladies,"Ruthie McHugh, Jane Hogg, Aideen Fay, Aoife McGranaghan, Molly Brennan, Gabriele Gusciute, Anna Mangan, Ellen Murphy, [Cox] Clare White"
16,Women's Eights Tier 2,Heat 2,1,6,ZDT (B),Dublin U Ladies,"Nora Fisher, Sarah Kelly, Aoife Corcoran, Caoimhe Dempsey, Aoife Byrne, Gemma Foley, Laura Walsh, Sarah Higgins, [Cox] Aoife Reid"
16,Women's Eights Tier 2,Heat 2,2,3,VRC (A),Vesta RC,"Cameo Choquer, Victoria Carroll, Fiona Robinson, Cherry Fermor, Hannah Futter, Clare Wood, Fiona Palamarczuk, Kirsty McGregor-Ritchie, [Cox] Lauren Hardcastle"
16,Women's Eights Tier 2,Heat 2,3,4,COX (B),Oxford City,"Caroline Barnes, Isobel Diment, Emily Lyons, Ella Cope, Tabitha Peel, Jodie Buswell, Gwenn-AÃ«l CarrÃ©, Naomi Sharma, [Cox] Dhaval Desai"
16,Women's Eights Tier 2,Heat 2,4,5,UBR (B),Bristol Univ,"Lily Donovan, Sophie Angel, Maddie Sanders, Rosie Watkins, Madeleine Jannoe, Grace Ward-Allen, Catherine Nohre, Charlotte Marshall, [Cox] Caroline Welsh"
16,Women's Eights Tier 2,Heat 2,5,2,TRC (B),Thames RC,"Robyn Carter, Louisa Horton, Jennifer O'Boyle, Lucy Nee, Sophie Jenkins, Bryony Spottiswoode, Charlotte Potter, Eleanor Roberts, [Cox] Alastair Jackson"
17,Women's Coxed Fours Tier 3,Heat 1,1,5,LLA,Llandaff RC,"Catherine Raine, Grace Mahony, Emily Brace, Suzanne Erith, [Cox] Richard Summers"
17,Women's Coxed Fours Tier 3,Heat 1,2,4,GRO,Grosvenor RC,"Siobhan Barnard, Laura Champion, Jessica Hulson, Jess Fitzpatrick, [Cox] Elizabeth Williams"
17,Women's Coxed Fours Tier 3,Heat 1,3,6,ZGY (A),Galway RC,"Kellie Wade, Femhe Caffrey, Claire Elwood, Fiona Murtagh, [Cox] Sarah Lynch"
17,Women's Coxed Fours Tier 3,Heat 1,4,1,TRC (A),Thames RC,"Jennifer Pollard, Hayley Pullin, Rebecca Angwin, Sarah Newton, [Cox] Eleanor-Jayne Conway"
17,Women's Coxed Fours Tier 3,Heat 1,5,3,DUB (B),Durham Univ,"Alicia Schwarzenbach, Eva Siwiak-Jaszek, Megan Connolly, Harriet Watson, [Cox] Zoe Evans"
17,Women's Coxed Fours Tier 3,Heat 1,6,2,ZDT (B),Dublin U Ladies,"Sophie Cairns, Ciara Kiely, Saidhbhe Casey, Brona Murphy, [Cox] Clare White"
18,Women's Coxed Fours Tier 3,Heat 2,1,1,PTR (B),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
18,Women's Coxed Fours Tier 3,Heat 2,2,2,LEE (A),Leeds RC,"Jessica Brush, Charlotte Milligan, Ella Sadler-Andrews, Emily Holt, [Cox] Harin Wijayathunga"
18,Women's Coxed Fours Tier 3,Heat 2,3,7,TSS (A),Tideway Sc Sch,"Jennifer Scrine, Rachel Scanlan, Kate Thorne, Katya De Gentile-Williams, [Cox] Jessica Saunders"
18,Women's Coxed Fours Tier 3,Heat 2,4,6,ZNU (B),NUI Galway BC,"Aisling Nolan, Ailbhe NÃ- Griofa, Sorcha O'Donnell, Shannon Sheridian, [Cox] Johanna Walsh"
18,Women's Coxed Fours Tier 3,Heat 2,5,3,ZDT (A),Dublin U Ladies,"Susie O' Neill, Ellen Clohessy, Maria Kennedy, Aine Kennedy, [Cox] Aoife Reid"
18,Women's Coxed Fours Tier 3,Heat 2,6,4,EXU,Exeter Univ,"Sophie Taylor, Amy Louise Ward, Caitlin Kickham, Emily Batchelor, [Cox] Sophie Wrixon"
18,Women's Coxed Fours Tier 3,Heat 2,7,5,NEW,Newcastle Univ,"Christina Castledine, Charlotte Penrose, Victoria Chamberlain, Kathleen Blake, [Cox] Sophie Grisewood"
19,Quad Sculls Tier 2,Final,1,6,MBC,Molesey BC,"Dominic Jackson, Dave Bell, Cormac Molloy, Rory Harris"
19,Quad Sculls Tier 2,Final,2,2,ZCD/ ZCR/ ZFS,University Coll Dublin RC/ Com.,"Jake McCarthy (ZFS), Shane O'Connell (ZCD), Andrew Goff (ZCD), Niall Beggan (ZCR)"
19,Quad Sculls Tier 2,Final,3,3,RDU (A),Reading Univ,"Robert McPherson, Simon Williamson, Franklin Hamilton, Christian Dove"
19,Quad Sculls Tier 2,Final,4,4,LDR,Leander Club,"Thomas Placidi, Cameron Forsythe, Tom Ballinger, Robby Crowther"
19,Quad Sculls Tier 2,Final,5,1,RDG (A),Reading RC,"Richard Laney, Will Robinson, Nicholas Musson, Nick Brown"
20,Coxless Fours Tier 3,Heat 1,1,2,NOW (B),Northwich RC,"Joseph Anderson, Finnian Lawton, Harry Taylor, George Lawton"
20,Coxless Fours Tier 3,Heat 1,2,7,MHD,Maidenhead RC,"Robert Smith, William Cranston, Tim Wallis-Caddell, Ross McCoriston"
20,Coxless Fours Tier 3,Heat 1,3,6,RDG (B),Reading RC,"Gareth Williams, S Clarke, Robert Leech, Charlie Newbould"
20,Coxless Fours Tier 3,Heat 1,4,3,YRK (B),York City RC,"Patrick Evans, Andrew Wilkinson, Daniel Lewis, Benjamin Bollans"
20,Coxless Fours Tier 3,Heat 1,5,5,MBC (C),Molesey BC,"Ashley Cowley, Cledwyn Ellison, William Hetherington, James Phillips"
20,Coxless Fours Tier 3,Heat 1,6,1,AKN (A),Auriol Ken,"James Dickinson, Cameron Graham, Sebastian Frechtling, Mark Mearing-Smith"
20,Coxless Fours Tier 3,Heat 1,7,4,CBS,Cambois RC,"Jamie Young, Lee McCarron, Richard Fergie, Jamie McCarron"
21,Coxless Fours Tier 3,Heat 2,1,4,CBR (B),Bristol City,"Cameron Smith, James Wadsworth, Will Japp, Edward Piercy"
21,Coxless Fours Tier 3,Heat 2,2,2,CUR (A),Curlew RC,"Connor Austin, Toby Churchus, Alexander Gibbons, Michael Scott"
21,Coxless Fours Tier 3,Heat 2,3,7,MBC (B),Molesey BC,"Robin Mould, Aaron Wilkins, Adam Heayberd, William Johnston"
21,Coxless Fours Tier 3,Heat 2,4,1,TSS (B),Tideway Sc Sch,"Tom Jenkins, Paul Bruce, Dimeji Ogunyoye, James Budenberg"
21,Coxless Fours Tier 3,Heat 2,5,3,SUA (B),Stratford Avon,"Harpreet Mander, Oliver Smith, Benjamin Smith, Alastair Collier"
21,Coxless Fours Tier 3,Heat 2,6,5,RDG (D),Reading RC,"Luke Grundy, Henry Stevens, James Batchelor, Michael Croll"
