Race Number,Event Name,Race Name and Type,Position,Lane Number,Club Code,Club Name,Crew List
15,Women's Double Sculls Tier 1,Final,6,6,NRC,Nottingham RC,"Charlotte Brown, Lucy Holgate"
17,Women's Coxless Pairs Tier 2,Final,1,2,IMP,Imperial Coll,"Amy Gibson, Isobel Powell"
17,Women's Coxless Pairs Tier 2,Final,2,1,WRC,Wallingford RC,"Pippa Birch, Louise Hart"
17,Women's Coxless Pairs Tier 2,Final,3,4,ULO,London Univ,"Kate Wagstaff, Sara Hegge"
17,Women's Coxless Pairs Tier 2,Final,4,3,TRC (B),Thames RC,"Eleanor Garratt-Smith, Sarah Fabes"
17,Women's Coxless Pairs Tier 2,Final,5,6,DUB,Durham Univ,"Madeleine Orr, Ashleigh Mason"
17,Women's Coxless Pairs Tier 2,Final,6,5,FSC,Furnivall SC,"Jessica Hartley, Meri Pesola"
17,Women's Coxless Pairs Tier 2,Final,7,7,VRC,Vesta RC,"Abi Watson, Fiona Palamarczuk"
18,Women's Coxed Fours Tier 2,Heat 1,1,6,PTR (A),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
18,Women's Coxed Fours Tier 2,Heat 1,2,5,KCL,King's Coll Lon,"Danielle Wilcock, Molly Hackett, Amy Kilby, Stephanie Stone, [Cox] Manuela de Mendonca"
18,Women's Coxed Fours Tier 2,Heat 1,3,4,UTC,Upper Thames RC,"Emma Peacock, Gabriella Halloran, Rhianna Cearns, Sally Pollok-Morris, [Cox] Zoe Thomas"
18,Women's Coxed Fours Tier 2,Heat 1,4,3,GRO,Grosvenor RC,"Siobhan Barnard, Laura Champion, Jessica Hulson, Jess Fitzpatrick, [Cox] Elizabeth Williams"
18,Women's Coxed Fours Tier 2,Heat 1,5,1,TSS,Tideway Sc Sch,"Jennifer Scrine, Rachel Scanlan, Kate Thorne, Katya De Gentile-Williams, [Cox] Aba Carboo"
18,Women's Coxed Fours Tier 2,Heat 1,6,2,EXU,Exeter Univ,"Sophie Taylor, Amy Louise Ward, Caitlin Kickham, Ella Armstrong, Rossana Wing, [Cox] Sophie Wrixon"
19,Women's Coxed Fours Tier 2,Heat 2,1,1,ULO,London Univ,"Anna Collins, Holly Exton-Smith, Amber Pierce, Olivia Rogerson, [Cox] Lauren Holland"
19,Women's Coxed Fours Tier 2,Heat 2,2,2,EXE (A),Exeter RC,"Kate Salmon, Rosalind West, Kirsty Barker, Rebecca Kelly, [Cox] Abby Jones"
19,Women's Coxed Fours Tier 2,Heat 2,3,3,DUB (A),Durham Univ,"Tessa van Veen, Gabriella Hatfield, Megan Lillington, Kate Lillington, [Cox] Abigail Riley"
19,Women's Coxed Fours Tier 2,Heat 2,4,5,WRC,Wallingford RC,"Victoria Bellamy, Katherine Butler, Leigh-Ann Bard, Samantha Burrows, [Cox] Emily Booker"
19,Women's Coxed Fours Tier 2,Heat 2,5,4,BBL,Barnes Br LRC,"Clemmy Fontaine, Cara Cahill, Sarah Thompson, Laura Oakley, [Cox] Anna Costantini"
19,Women's Coxed Fours Tier 2,Heat 2,6,6,TRC (B),Thames RC,"Laura Phillips, Lucy Thomas, Anna Harrison, Louisa Currey, [Cox] Alastair Jackson"
20,Coxless Fours Tier 3,Heat 1,1,7,ZUC,University Coll Cork RC,"David Keohane, Julian Larkin, Evan White, Thomas Higgins"
20,Coxless Fours Tier 3,Heat 1,2,3,HSB,HSBC RC,"David Law, Ricardo Martinez, Pierre Antoine Lhommet, Max Thomas"
20,Coxless Fours Tier 3,Heat 1,3,6,SUA,Stratford Avon,"Harpreet Mander, Oliver Smith, Benjamin Smith, Alastair Collier"
20,Coxless Fours Tier 3,Heat 1,4,1,CSH,Sheffield City,"Piers Turnbull, Simon Coyne, Mark Burrell, Michael Luckham"
20,Coxless Fours Tier 3,Heat 1,5,2,RDG,Reading RC,"Luke Grundy, James Batchelor, Henry Stevens, Michael Croll"
21,Coxless Fours Tier 3,Heat 2,1,4,MHD,Maidenhead RC,"Sam McCoriston, William Cranston, Tim Wallis-Caddell, Ross McCoriston"
21,Coxless Fours Tier 3,Heat 2,2,3,CUR,Curlew RC,"Scott Bramley, Toby Churchus, Alexander Gibbons, Michael Scott"
21,Coxless Fours Tier 3,Heat 2,3,5,TSS (B),Tideway Sc Sch,"Tom Jenkins, Adam Aladay, Dimeji Ogunyoye, Lewis Van Diggele"
21,Coxless Fours Tier 3,Heat 2,4,6,TYN (A),Tyne RC,"Serkan Turkmen, George Starr, Danny Hunter, Henry Galbraith"
21,Coxless Fours Tier 3,Heat 2,5,2,TYN (B),Tyne RC,"Joshua Bate, Michael Dodds, Peter Storey, A J Musgrave"
22,Women's SIngle Sculls Tier 2,Final,1,6,DUB,Durham Univ,Rosalind Wilson
22,Women's SIngle Sculls Tier 2,Final,2,5,PBD,Poplar B&D,Andrea Stock
22,Women's SIngle Sculls Tier 2,Final,3,4,UTC,Upper Thames RC,Mary Merritt-Smith
22,Women's SIngle Sculls Tier 2,Final,4,3,RDU,Reading Univ,Amy Fuller
22,Women's SIngle Sculls Tier 2,Final,5,2,WBK,Walbrook RC,Natasha Gallagher
23,Women's Double Sculls Tier 3,Heat 1,1,2,IMP,Imperial Coll,"Jowita Mieszkowska, Kathryn Barnhill"
23,Women's Double Sculls Tier 3,Heat 1,2,4,NWK,Newark RC,"Georgia Bryan, Tilly Ireland"
23,Women's Double Sculls Tier 3,Heat 1,3,5,AGE,Agecroft RC,"Lauren Barclay, Jessica Swindells"
23,Women's Double Sculls Tier 3,Heat 1,4,1,GLR/ YRK,Gloucester RC/ York City RC,"Zara Cottrill (GLR), Margit Rezacova (YRK)"
24,Women's Double Sculls Tier 3,Heat 2,1,5,TSS (B),Tideway Sc Sch,"Marlie Carter Edwards, Elizabeth Williams"
24,Women's Double Sculls Tier 3,Heat 2,2,3,MBC (A),Molesey BC,"Hannah Foxley, Marie Grant"
24,Women's Double Sculls Tier 3,Heat 2,3,4,RDU (B),Reading Univ,"Beatrice Roe, Katherine Swales"
24,Women's Double Sculls Tier 3,Heat 2,4,6,NEW (B),Newcastle Univ,"Lina Larsson, Sophie Adams"
24,Women's Double Sculls Tier 3,Heat 2,5,2,VRC,Vesta RC,"Alice Pickthall, Emily Robinson"
25,SIngle Sculls Tier 4,Final,1,5,CUB,Cambridge Univ,Aleksander Malowany
25,SIngle Sculls Tier 4,Final,2,3,LBS,L'boro Students,Alex Watkins
25,SIngle Sculls Tier 4,Final,3,2,MBC,Molesey BC,Sylvain Boyer
25,SIngle Sculls Tier 4,Final,4,6,GLU,Glasgow Univ,Adam Kisvari
25,SIngle Sculls Tier 4,Final,5,7,UTC,Upper Thames RC,Robert Moles
26,Coxed Fours Tier 1,Final,1,4,TAU,Taurus BC,"Samuel Bannister, Timothy Grant, Edward Grisedale, Richard Hawkins, Alice McWilliam, [Cox] John Carlson"
26,Coxed Fours Tier 1,Final,2,6,IMP,Imperial Coll,"Oliver Hines, Tristan Vouilloz, Toby Heaton, Jack Walsh, [Cox] Christopher Au"
26,Coxed Fours Tier 1,Final,3,5,SIP,Sport Imperial,"Matthew Pointing, Joshua Butler, Sam Butler, Matthew Whaley, Hugo Ramambason, [Cox] Eleanor Smith"
26,Coxed Fours Tier 1,Final,4,7,MBC (B),St Andrew BC,????
26,Coxed Fours Tier 1,Final,5,1,SAN,St Andrew BC,"Gregor Maxwell, Findlay Ralley, Kieran Tierney, Graham Ord, [Cox] Helena Watson"
26,Coxed Fours Tier 1,Final,6,3,SUA,Stratford Avon,"Edward Lewry, Thomas Coles, Ben Twiney, Christopher Thomas, [Cox] Eleanor Willetts"
26,Coxed Fours Tier 1,Final,7,2,KRC (A),Kingston GS/ Kingston RC,"Ben Handy, Thomas Rawlins, Matthew McWilliam, Tom Hopkins, Prudence Seaward, [Cox] Adele Hing"
27,Women's Quad Sculls Tier 2,Final,1,2,USU,Surrey Univ,"Rachel Ebbens, Elizabeth Hatch, Cecile Flavin, Charlotte Gill"
27,Women's Quad Sculls Tier 2,Final,2,4,KRC,Kingston RC,"Molly Stalley, Melanie Court-Smith, Caroline Willett, Rachel Knight"
27,Women's Quad Sculls Tier 2,Final,3,5,BAU,Bath Univ,"Anna Willis, Eleanor Denham, Robyn Bell, Christina Cackett"
27,Women's Quad Sculls Tier 2,Final,4,3,HEN,Henley RC,"Katy Parker, Natalie Atkinson, Hannah Smith, Emily Pimlott"
27,Women's Quad Sculls Tier 2,Final,5,6,LLA,Llandaff RC,"Laura Starrs, Hannah Lynch, Georgina Wren, Bethan Roberts"
28,Women's Coxed Fours Tier 4,Final,1,5,UWK,Warwick Univ,"Francesca Lidlow, Alice Vodden, Amandine Drew, Gemma Crook, [Cox] Shaan Jivan"
28,Women's Coxed Fours Tier 4,Final,2,4,LEE,Leeds RC,"Jessica Brush, Charlotte Milligan, Ella Sadler-Andrews, Emily Holt, [Cox] Harin Wijayathunga"
28,Women's Coxed Fours Tier 4,Final,3,3,DUB (B),Durham Univ,"Samantha Bousfield, Anna Thomas, Emma Cramp, Anna van der Star, [Cox] Zoe Evans"
28,Women's Coxed Fours Tier 4,Final,4,6,ZDT (C),Dublin U Ladies,"Sophie Cairns, Ciara Kiely, Saidhbhe Casey, Brona Murphy, [Cox] Clare White"
29,Coxless Pairs Tier 2,Heat 1,1,4,LDR,Leander Club,"Richard Clarke, Edward Gleadowe"
29,Coxless Pairs Tier 2,Heat 1,2,2,ZUC,University Coll Cork RC,"David Synnott, Steven Murphy"
29,Coxless Pairs Tier 2,Heat 1,3,6,ZCK,Cork BC,"Tomas Power, Sean O'Sullivan"
29,Coxless Pairs Tier 2,Heat 1,4,5,CFC (B),Cardiff City RC,"David George, Adrien Grubb"
30,Women's Coxed Fours Tier 4,Heat 2,1,3,AKN,Auriol Ken,"James Dickinson, Mark Mearing-Smith"
30,Women's Coxed Fours Tier 4,Heat 2,2,4,CNN (B),Cambridge 99,"Nicholas Thorn, Helge Dietert"
30,Women's Coxed Fours Tier 4,Heat 2,3,2,SCU,Strathclyde U,"Edward Ayton, Calum Young"
30,Women's Coxed Fours Tier 4,Heat 2,4,5,ULO,London Univ,"Stuart Pearce, George Turner"
31,Women's SIngle Sculls Tier 4,Final,1,6,EXU,Exeter Univ,Oluwaseun Olusanya
31,Women's SIngle Sculls Tier 4,Final,2,7,NOR,Norwich RC,Bethany Meakin
31,Women's SIngle Sculls Tier 4,Final,3,3,VRC,Vesta RC,Kirsten Adams
31,Women's SIngle Sculls Tier 4,Final,4,5,UBR,Bristol Univ,Teuntje Tijssen
31,Women's SIngle Sculls Tier 4,Final,5,4,NRC,Nottingham RC,Fleur TavarÃ©
31,Women's SIngle Sculls Tier 4,Final,6,2,NRC,Nottingham RC,Isabella Barlow
32,Double Sculls Tier 1,Final,1,4,ARM,Army RC,"Peter Purcell-Gilpin, Stephen Cox"
32,Double Sculls Tier 1,Final,2,1,ZSN/ ZUC (B),Shandon BC/ University Coll Co...,"Dan Begley (ZSN), Ronan Byrne (ZUC)"
32,Double Sculls Tier 1,Final,3,5,ZDJ,Castleconnell Boat Club,"Shane Haugh, Fionnan Crowley"
32,Double Sculls Tier 1,Final,4,6,ZSN (B),Shandon BC,"Stephen O'Sullivan, Colm Hennessy"
32,Double Sculls Tier 1,Final,5,2,AKN,Auriol Ken,"W Hugh MacKworth-Praed, Elliot Barton"
33,Coxed Fours Tier 3,Final,1,7,DUB (A),Durham Univ,"Max Robinson, Oscar Lindsay, Danylo Gorenkin, Leon Langmead, [Cox] Eleanor Robson"
33,Coxed Fours Tier 3,Final,2,6,DUB (B),Durham Univ,"Chris Rimmer, Joseph Johansen, Patrick Kinch, James Vogel, [Cox] Benjamin Rich"
33,Coxed Fours Tier 3,Final,3,5,USU,Surrey Univ,"Harry Grassom, Alex Law, Jonas Butvilas, Andrew Stevenson, [Cox] Tsolo Swan"
33,Coxed Fours Tier 3,Final,4,4,ZCK,Cork BC,"Ryan Povey, Neil McCarthy, Barry Connolly, Cian O'Sullivan, [Cox] Siobhan Egan"
33,Coxed Fours Tier 3,Final,5,3,KCL,King's Coll Lon,"Alexander Stevens, Erik Habich, Simon Deacon, James Gregory, [Cox] Jasper Couper"
33,Coxed Fours Tier 3,Final,6,2,WRC (B),Wallingford RC,"Robert Mason, James Wright, Robert Hines, Jonathan Mentor, [Cox] Poul Alexander"
35,Quad Sculls Tier 2,Final,1,5,ZCD/ ZCR/ ZFS,University Coll Dublin RC/ Com...,"Jake McCarthy (ZFS), Shane O'Connell (ZCD), Andrew Goff (ZCD), Niall Beggan (ZCR)"
35,Quad Sculls Tier 2,Final,2,3,RDU (B),Reading Univ,"Robert McPherson, Simon Williamson, Franklin Hamilton, Oliver Dix"
35,Quad Sculls Tier 2,Final,3,4,RDG,Reading RC,"Richard Laney, Will Robinson, Nicholas Musson, Daniel Boddington"
35,Quad Sculls Tier 2,Final,4,2,ASL,American Sch,"Nicholas Kuenstler, Niklas Mannhardt, Tyler Skow, Joseph Troyer"
37,Women's Coxed Fours Tier 2,Final,1,6,ULO,London Univ,"Anna Collins, Holly Exton-Smith, Amber Pierce, Olivia Rogerson, [Cox] Lauren Holland"
37,Women's Coxed Fours Tier 2,Final,2,7,PTR (A),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
37,Women's Coxed Fours Tier 2,Final,3,5,KCL,King's Coll Lon,"Danielle Wilcock, Molly Hackett, Amy Kilby, Stephanie Stone, [Cox] Manuela de Mendonca"
37,Women's Coxed Fours Tier 2,Final,4,4,EXE (A),Exeter RC,"Kate Salmon, Rosalind West, Kirsty Barker, Rebecca Kelly, [Cox] Abby Jones"
37,Women's Coxed Fours Tier 2,Final,5,3,UTC,Upper Thames RC,"Emma Peacock, Gabriella Halloran, Rhianna Cearns, Sally Pollok-Morris, [Cox] Zoe Thomas"
37,Women's Coxed Fours Tier 2,Final,6,2,DUB (A),Durham Univ,"Tessa van Veen, Gabriella Hatfield, Megan Lillington, Kate Lillington, [Cox] Abigail Riley"
38,Women's Coxless Fours Tier 1,Final,1,6,CUW,Cambridge UWBC,"Patricia Smith, Lucy Pike, Myriam Goudet, Thea Zabell"
38,Women's Coxless Fours Tier 1,Final,2,1,DUB (A),Durham Univ,"Rebekka Hodson, Helena Barton, Lauren Irwin, Hanna Gailis Inntjore"
38,Women's Coxless Fours Tier 1,Final,3,4,IMP,Imperial Coll,"Natalie Long, Joanna Thom, Meghann Jackson, Maddalena Ardissino"
38,Women's Coxless Fours Tier 1,Final,4,2,NEW,Newcastle Univ,"Megan Barry, Lola Anderson, Emily Ford, Nicole Lamb"
38,Women's Coxless Fours Tier 1,Final,5,3,TSS,Tideway Sc Sch,"Rachel Francis, Charlotte Dexter, Rowi Mortimer, Anna Terry"
38,Women's Coxless Fours Tier 1,Final,6,5,ZCK,Cork BC,"Frances Judge, Linda Murphy, Grace Collins, Lisa Dilleen"
39,Coxless Fours Tier 3,Final,1,7,ZUC,University Coll Cork RC,"David Keohane, Julian Larkin, Evan White, Thomas Higgins"
39,Coxless Fours Tier 3,Final,2,6,MHD,Maidenhead RC,"Sam McCoriston, William Cranston, Tim Wallis-Caddell, Ross McCoriston"
39,Coxless Fours Tier 3,Final,3,4,CUR,Curlew RC,"Scott Bramley, Toby Churchus, Alexander Gibbons, Michael Scott"
39,Coxless Fours Tier 3,Final,4,5,HSB,HSBC RC,"David Law, Ricardo Martinez, Pierre Antoine Lhommet, Max Thomas"
39,Coxless Fours Tier 3,Final,5,2,TSS (B),Tideway Sc Sch,"Tom Jenkins, Adam Aladay, Dimeji Ogunyoye, Lewis Van Diggele"
39,Coxless Fours Tier 3,Final,6,3,SUA,Stratford Avon,"Harpreet Mander, Oliver Smith, Benjamin Smith, Alastair Collier"
40,Coxless Fours Tier 1,Heat 1,1,6,LDR,Leander Club,"Barnaby Stentiford, Finn Stevenson, Sam Twine, George Rossiter"
40,Coxless Fours Tier 1,Heat 1,2,4,EHU,Edinburgh Univ,"Matthew Christie, Oliver Wilkes, Calum Irvine, Rufus Scholefield"
40,Coxless Fours Tier 1,Heat 1,3,3,TSS (A),Tideway Sc Sch,"Nathan O'Reilly, Murray Wilkojc, William Fields, Lloyd Seaman"
40,Coxless Fours Tier 1,Heat 1,4,2,TRC,Thames RC,"James Palmer, William Downey, Luke Wertheim, Harry Dorrance-King"
40,Coxless Fours Tier 1,Heat 1,5,5,KRC,Kingston RC,"Leon Taylor, Mark Roberts, John Keen-Tomlinson, John Ciccarelli"
40,Coxless Fours Tier 1,Heat 1,6,7,LRC (B),London RC,"James Sexton-Barrow, Luis Orozco, Jack Davidson, Rupert Price"
41,Coxless Fours Tier 1,Heat 2,1,2,LRC (A),London RC,"Matthew Cummings, Nicholas Parnell, Stephen Griffiths, Dominic Parnell"
41,Coxless Fours Tier 1,Heat 2,2,1,LEA (A),Lea RC,"Alex Wildy, Tobias Perren, Toby Dixon, Jonathan Daniels"
41,Coxless Fours Tier 1,Heat 2,3,3,QBC,Quintin BC,"Mark Chatwin, Robert Williams, Alexander Miller, Max Murdock"
41,Coxless Fours Tier 1,Heat 2,4,7,UTC,Upper Thames RC,"Mike Lambourn, Piotr Golawski, S Bathe-Taylor, Daniel Shoobridge"
41,Coxless Fours Tier 1,Heat 2,5,6,FUL,Fulham Reach,"Ross De Burgh, James Diaz-Sokoloff, Edward Birrell, Ben Bathurst"
41,Coxless Fours Tier 1,Heat 2,6,5,MBC (B),Molesey BC,"Robin Mould, Adam Heayberd, Aaron Wilkins, William Johnston"
41,Coxless Fours Tier 1,Heat 2,7,4,CBS,Cambois RC,"Lee McCarron, Jamie Young, Richard Fergie, Jamie McCarron"
42,Coxless Fours Tier 1,Heat 1,1,7,AGE,Agecroft RC,Ellie Lewis
42,Coxless Fours Tier 1,Heat 1,2,1,TRC,Thames RC,Suzi Perry
42,Coxless Fours Tier 1,Heat 1,3,2,GRO,Grosvenor RC,Lucy Iball
42,Coxless Fours Tier 1,Heat 1,4,3,NRC,Nottingham RC,Aerin Thompson
42,Coxless Fours Tier 1,Heat 1,5,6,NOR,Norwich RC,Bethany Meakin
42,Coxless Fours Tier 1,Heat 1,6,5,TUN,Taunton RC,Taunton RC
43,Women's Lwt 1x,Heat 2,1,4,EXU,Exeter Univ,Susannah Duncan
43,Women's Lwt 1x,Heat 2,2,7,BAU,Bath Univ,Laura Macro
43,Women's Lwt 1x,Heat 2,3,6,ZFS,Skibereen RC,Orla Hayes
43,Women's Lwt 1x,Heat 2,4,3,PET,Peterborough,Camilla Plumb
43,Women's Lwt 1x,Heat 2,5,2,UBR,Bristol Univ,Teuntje Tijssen
43,Women's Lwt 1x,Heat 2,6,5,WRR,Worcester RC,Jennifer Jackson
46,Junior 18 SIngle Sculls,Final,1,4,ZCK,Cork BC,Barry Connolly
46,Junior 18 SIngle Sculls,Final,2,3,BAE,Barn Elms RC,Arun Jackson
46,Junior 18 SIngle Sculls,Final,3,6,MIN,Minerva Bath RC,Jens Hullah
46,Junior 18 SIngle Sculls,Final,4,7,ZCK,Cork BC,Cian O'Sullivan
46,Junior 18 SIngle Sculls,Final,5,5,CFC,Cardiff City RC,George Cowley
46,Junior 18 SIngle Sculls,Final,6,2,MHD,Maidenhead RC,Elliott Kemp
46,Junior 18 SIngle Sculls,Final,7,1,LEE,Leeds RC,Androioannis Lorentzatos
47,Women's Eights Tier 1,SFCD 1,1,7,AGE,Agecroft RC,"Frances Barrand, Camilla O'Driscoll, Kate Silverthorne, Grace Miller, Charlotte Walsh, Florence Morton, Alexandra Gardiner, Charlotte Grandfield, [Cox] Marion Vannier"
47,Women's Eights Tier 1,SFCD 1,2,6,ZGY,Galway RC,"Ruth Elwood, Kellie-Ann Folan, Isabella McDonald, Roisin Cahill, Kellie Wade, Amy Sims, Claire Elwood, Fiona Murtagh, [Cox] Sarah Lynch"
47,Women's Eights Tier 1,SFCD 1,3,5,FUL,Fulham Reach,"Sally Hodgson, Ella Hutchinson, Fay Sandford, Georgina Phillips, Elizabeth Cottrell, Beatrix Sheldrick, Jenny Arnold, Fiona Schlesinger, [Cox] S Tjornelund"
47,Women's Eights Tier 1,SFCD 1,4,4,DUB (B),Durham Univ,"Francesca Quinn, Gabriella Hatfield, Megan Lillington, Maya Nickituk, Alicia Schwarzenbach, Eva Siwiak-Jaszek, Megan Connolly, Harriet Watson, [Cox] Zoe Evans"
47,Women's Eights Tier 1,SFCD 1,5,3,ZNU (B),NUI Galway BC,"Shannon Sheridian, Sorcha O'Donnell, Siuan Mannion, Aisling Nolan, Naomi Tunstead, Sarah Blaney, Ailbhe NÃ- Griofa, Ellen Ormsby, [Cox] Cathal McNamara"
47,Women's Eights Tier 1,SFCD 1,6,2,CBR (A),Bristol City,"Caitlin Bloom, Rebecca Perkins, Sofia Deambrosi, Emma Bawden, Lauren O'Neill, Jenny Chapman, Chloe Farrar, Rachel Wilson, [Cox] Isobel Stone"
47,Women's Eights Tier 1,SFCD 1,7,1,EXU,Exeter Univ,"Sophie Wrixon, Emily Batchelor, Julia Bradley, Eleanor Hayes, Arabella Weetch, Jemima Betts, Eleanor Foot, Alex Flynn, Helene Stabell Haaheim, [Cox] Rossana Wing"
48,Women's Eights Tier 1,SFCD 2,1,6,KRC/ LEA/ QBC,Kingston RC/ Lea RC/ Quintin B...,"Rebekah Edgar (QBC), Claire McIntosh (TSS), Amanda Benson-Skailes (LEA), Bridget Snaith (LEA), Judith Schulz (TSS), Caroline Matthews (TSS), Elaine Johnstone (TSS), Andrea Finn (KRC), [Cox] Megan Neville (ULO)"
48,Women's Eights Tier 1,SFCD 2,2,7,VRC,Vesta RC,"Cameo Choquer, Victoria Carroll, Fiona Robinson, Cherry Fermor, Hannah Futter, Clare Wood, Catherine Long, Kirsty McGregor-Ritchie, [Cox] Lauren Hardcastle"
48,Women's Eights Tier 1,SFCD 2,3,5,UBR (B),Bristol Univ,"Lily Donovan, Charlotte Rogers, Rosie Watkins, Sophie Angel, Madeleine Jannoe, Grace Ward-Allen, Catherine Nohre, Charlotte Marshall, [Cox] Caroline Welsh"
48,Women's Eights Tier 1,SFCD 2,4,4,STN,Staines BC,"Suzanne Cole, Georgina Watling, Rachel Brown, Claire Couves, Sophie Richards, Catherine Long, Maddison Shoolbread, Emma Corless, [Cox] Anna Cackett"
48,Women's Eights Tier 1,SFCD 2,5,2,UCL,UC London,"Emily Nash, Anna-Rose Truman, Catherine Bentley, Claudia Abdallah, Rachel Dumbrell, Natalie Ohene, Ellen Forsyth, Tegan Foister, [Cox] Lauren Johncock"
48,Women's Eights Tier 1,SFCD 2,6,3,TRC (B),Thames RC,"Robyn Carter, Louisa Horton, Jennifer O'Boyle, Lucy Nee, Sophie Jenkins, Bryony Spottiswoode, Charlotte Potter, Eleanor Roberts, [Cox] Alastair Jackson"
48,Women's Eights Tier 1,SFCD 2,7,1,CUR,Curlew RC,"Rebecca Jackson, Inga Jirgensone, Claire Williams, Lianne Abbott, Gemma Barker, Anna Palsdottir, Charlotte Waghorne, Jessica Phillips, [Cox] Alexander Smith"
49,Women's Eights Tier 1,SFAB 1,1,7,MBC,Molesey BC,"Emma McDonald, Caitlin Boyland, Gabby Rodriguez, Elo Luik, Lucy Primmer, Ruth Whyman, Rebecca Edwards, Katie Bartlett, [Cox] Morgan Baynham-Williams"
