i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
202,Darwin College Boat Club ,No,,Marion Kieffer,Robin Morrison,Joy Muraszko,Chloe Clifford Astbury,Beverly McCann,Alison Macintosh,Jessica Walsh,Magda Gerigk,149
139,City of Cambridge Rowing Club/St Neots Rowing Club,City of Cambridge Rowing Club,,Susanna Barratt,Jessica Halliday,Malgorzata Szlachta,Jess Franklin,Jade Hellett,Merel Dubois-van Slageren,Eleanor Ancliff,Francesca Axe,150
130,University of West of England Boat Club,No,A,Amber Hamdani,Cerys Jones,Emily Arnold,Shannon Johnson,Sophie Walsh,Annabelle Cook,Emma Duncan,Anna Davies,151
146,Putney Town Rowing Club,No,B,Emily Gray,Laura Peck,Kirsty Fergie,Alexandra Harwood,Rosabella Styles,Sarah Foxton,Francesca Lawley,Rose Stanley,152
271,Clare Boat Club ,No,,Jordan Mccoy,Charlotte Thompson,Vashti Davies,Amarynth Sichel,Olivia Brett,Katherine Irwin,Jessica Lindley,Ariane Dupas,153
251,Castle Dore Rowing Club ,No,,Lydia Virr,Madelaine Trudgian,Emma de Grey-Warter,Rebecca Ansell,Alice Asquith,Anna Gilchrist,Samantha Pallett,Imogen Vale,154
167,Bridgnorth Rowing Club ,No,,Sarah Trowton,Holly Anne Campbell,Helen Stokes,Lucy Breakwell,Laura Tuckwood,Jennifer Williams,Sarah Graham,Nicola Rushin,155
112,Lea Rowing Club,No,C,Martha Parkinson,Geraldine Nassieu-Maupas,Jane Higgins,Caroline Carson,Helen Saunders,Sophie Mylan,Tara Maguire,Rosalyn Ricketts,156
222,Lady Margaret Hall Boat Club ,No,,Esther Rollinson,Alysha Patel,Ashleigh O'Connor-Hanlon,Sonja Stiebahl,Lana Purcell,Lydia Field,Laura Varley,Aoife Elwood,157
60,Thames Rowing Club,No,D,Caryn Urbanczyk,Katie Baker,Jess Lion,Nikki Worden,Katharine Giles,Julie Dickson,Charlotte Fiander,Jessica Chichester,158
317,Strathclyde University Boat Club ,No,,Mollie McIlwaine,Marisa Cove,Sonja Blaseio,Annie Hollis,Tilda Harju,Catriona Scott,Katie Scott,Rebecca Taylor-Barnes,159
316,Sidney Sussex College Boat Club ,No,,Katie Leach,Francesca Povey,Lois Overvoorde,Camille Lardy,Laura Lockwood,Emma Welbourne,Claire Burridge,Florence Alexander,160
157,St Hild & St Bede College Boat Club ,No,,Victoria Higgs,Katie Brown,Claire Dowling,Gabriele Keblyte,Julia Norton,Ellen Reakes-Williams,Ellie Drescher,Thea Winn-Reed,161
