i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
186,Cantabrigian Rowing Club,No,D,Lenka Dinnage,Susan Fitzgerald,Stephanie Creasey,Sally Hames,Marjon Hilgenga,Naomi McGovern,Syra Vanderhoof,Jacqui Robinson,209
70,Henley Rowing Club,No,C,Valerie Bennett,Linda Thomas,Margaret Anne Hall,Emma Alvey,Catherine Mangan,Louisa Clarke,Helen Knowles,H Turnell,210
283,Emmanuel Boat Club,No,B,Simina Dragos,Bronwen Fraser,Robyn Topper,Rebecca Walker,Rose Arbuthnot,Katie McKinnon,Kate Hawkins,Kimberly Barker,211
152,St Johns College (Durham) Boat Club,No,A,Annabel Hickson,Sian Cogan,Heather Jones,Taylor Fitzsimons,Hanna Bjone,Felicity Kenny,Isobel Fraser,Claudia Driscoll,212
120,Barnes Bridge Ladies Rowing Club,No,B,Emilie Scott,Leonie Watkins,Hannah Steedman,Marion Telsnig,Sian Kunert,Amelie Gourdon-Kanhukamwe,Carly Webb,Joanna Broadhurst,213
308,Glasgow University Boat Club,No,C,Silja Malin,Fabia Breuer,Miriam Payne ,Carmel Dowling,Victoria Smith,Laura Harrison,Poppy Maunder,Blair Butler ,214
311,Leicester University Boat Club ,No,,Clementine Bird,Helen Zakhour,Jessica Stone,Bethany Evans,Holly Walmesley,Emma Wilson,Charlie Warwick,Effie Hastelow,215
64,Putney Town Rowing Club/Parrs Priory Rowing Club,Putney Town Rowing Club,,Laura Pattison,Emma Flynn,Heather Macpherson,Laura Parker,Lorna Anderson,Tolli Hickes,Simone Frehe,Susan Pictor,216
188,York University Boat Club,No,A,Alice Kwan,Lily Glover,Rosie Hough,Claudia Sheriff-Pinches,Olivia Beer,Lucy Middlehurst,Ellie Lewis,Bea Stokman,217
310,Leeds University Boat Club,No,C,Chloe Vialou-Clark,Juliette Cocks,Alice Ridley,Maddie Harkness,Emily Painter,Shauna McAteer,Philippa Lloyd,Fiona Newman,218
168,St Johns College (Oxford) Boat Club ,No,,Karen Heathcote,Ria Dinsdale,Madeleine Warner,Lucy Field,Lynn Lewis-Bevan,Sarah Bourke,Jennifer Massingham,Laura Boddy,219
183,Leeds University Boat Club,No,B,Isabella Shackleford,Sally Watt,Indus Hill,Phoebe Barnes,Umamah Yusufi,Fenella Ellison,Rebecca Swift,Katie Austin,220
296,Castle Dore Rowing Club/City of Cambridge Rowing Club,Castle Dore Rowing Club,,Joanna Virr,Elaine Buck,Hannah de Grey-Warter,Poppy Kearney,Chloe White,Nancy Mansell,Madeleine Rose Hunter,Maria Norman,221
133,Curlew Rowing Club,No,B,Katherine Hatcher,Vivienne Meehan,Jemma Wright,Catherine Evans,Claire Williams,Anna Palsdottir,Katriona Blomberg,Emily Marr,222
149,Reading Rowing Club,No,B,Hannah Bower,Caren Tanger,Rebecca McKellar,Tsitsi Chenje,Christine Bauer,Joanna Gliddon,Marina Miles,Hannah Street,223
290,Bristol University Boat Club,No,D,Kate Jamison,Hannah Gulliford,Elen Bird ,Emilia Crocker,Hollie Saunders,Caitlin McConnell,Jemima Lucas,Bryony Lewis,224
294,Worthing Rowing Club ,No,,Issy Walker,Andzelika Stozek,Vanda Balla,Ciara Woods,Isobel Hooker,Lucy Reynard,Zuzana Fraser,Natalie Holden,225
72,Champion Of The Thames (Cambridge) Rowing Club,No,B,Helen Christy,Beth Midgley,Julie Conder,Vikki Roberts,Kate Dingwall,Rachel Newell,Cynthia Jones,Anna-Louise Lawrence,226
67,North Staffordshire Rowing Club ,No,,Sarah Taylor,Ruth Louise Ford,Janet Howson,Lucy Turner ,Katie Brookes,Keira Dawson,Michelle Ward,Sacha Rogers,227
177,Robinson College Boat Club ,No,,Georgina McCosh,Louise Barnaby,Holly Smith,Abigail Whiteley,Maria Farrimond,Sonja Klingberg,Alexia Wilson,Katya Duncan,228
195,Sheffield University Rowing Club,No,B,Sophie McGinley,Emily Stewart,Felicity Conway,Alice Jenkins,Lucy Hayes,Isabelle Emms,Pamela O'Neill,Tara Potter,229
275,Royal Free & Univ Coll Medical School Boat Club,No,B,Georgie Stagg,Serena Lu,Laura Dan,Hannah Roberts ,Abigail Powell,Asha Dave,Claire Shadwell,Milicent Walker,230
269,Lady Margaret Boat Club,No,B,Emily Beevers,Ane Kristine Espeseth,Laura Ferrier,Rachel Green,Camille Knight,Rachael Speed,Clara Van Uffelen,Suraya Yusuf,231
172,Staines Boat Club,No,B,Kate Proffitt,Judy Walker,Victoria Perrin,Julia Paxton,Louise Cavanagh,Josephine Boorman,Paige Knight,Maaike van Agtmaal,232
212,University of East Anglia Boat Club ,No,,Aoife Housden,Georgia Rasmussen,AnnKathrin Knacke,Abigail Benari,Stephanie Hodsman,Leah Tuley,Niamh Ruane,Olivia Caroline Doubleday,233
206,Bewdley Rowing Club,No,A,Katie Kowalski,Briony Cartwright,Sarah Bagley,Ruth Hale,Susan Carr,Becky Birch,Alexandra Bushnell,Kathryn Carlyle,234
205,Sheffield Hallam University Rowing Club,No,A,Niamh McBride,Abigail Couper,Jasmine Dolly,Abigail Ridden,Lucy McQuoney,Izzie Taylor,Lucy Martin ,Gabrielle Price,235
289,Birmingham University Boat Club,No,C,Phoebe Aucken,Heidi Swinhoe,Isobel Keith,Katie Dann,Isabelle Slee,Hannah Bollons,Laura Rishworth,Beth Meopham,236
164,Royal Holloway Boat Club ,No,,Olivia Hills,Harriet Williams,Jessie Harris,Ellen Wiggin,Lily Lofty,Emily Ford,Josephine Wilks,Livvi Derbyshire ,237
173,University College (Oxford) Boat Club ,No,,Sarah Haynes,Sarah Faulkner,Ffion Price,Isobel Salt,Olivia Lalude-Haworth,Alison Walsh,Amy Hughes,Alisa Musanovic,238
253,Bristol University Boat Club,No,C,Natalie Mc Nally,Lucy Delamere,Lucinda Cross,Megan Taylor,Abi Gutai,Lucy Dayer ,Miriam Porter,Ana Zigic,239
73,Bradford Amateur Rowing Club ,No,,Sally Wood,Laura Squire,Freya Stansfield,Jenny Hornsby,Anthea Mould,Kim Davis,Brenda Franklin,Sheila Gregory,240
215,Brasenose College Boat Club ,No,,Eleanor Dodd,Petra Koene,Grace Hickman,Anna Dobson,Karen Zhang,Emily Tench,Katie Ramsey,Elizabeth Matthams,241
302,Nottingham University Boat Club,No,C,Poppy Wood,Johanna Horsman ,Aisling Grady,Shirlyn Gathoni,India Beaumont,Beth Challis,Lydia Sexton,Anna Price,242
313,Nottingham Trent University Rowing Club ,No,,Freya Dumbell,Shannon Frayne,Lillie Prior,Lydia Reynolds,Hannah Simmons,Ailish Ward,Ellie Tuke,Natalie Schaffer Fairbanks,243
285,University College London Boat Club,No,D,Nanxi Zhang,Zhijun Yang,Andreea-Alexa-Maria Faur,Yebeen Boo,Ruqaiyah Shiraz,Anna Huhn,Zahra Coulthard,Natasha Ng,244
280,Kings College London BC,No,C,Helena Fazeli,Marion Guerbet,Sarah MacCallum-Orr,Roisin Dillon,Aline Lechartier,Annabelle Jolly,Phoebe Gittins,Emma Reidy,245
249,Maidstone Invicta Rowing Club,No,B,Fiona Thomson,Abby Chapman,Molly Gache,Lucy Parker,Millie Howarth,Evie Kickham,Georgina Acott ,Katharine Le Lion,246
75,Walbrook Rowing Club ,No,,Laura Bullard,Sue Eggeman,Wendy Brister-Runnacles,Joanna Moffatt,Jude Bowen,Tracy Lilley,Rosemary Thom,Helen Field,247
185,Globe Rowing Club,No,B,Mollie Arbuthnot,Eleanor Re'em,Jess Strangward,Laura Gilbert,Kathryn Giblin ,Rachel Scoffield,Julia Nowicka,Dillan Lee,248
239,Uppsala Academic Rowing Society ,No,,Linna Hallgren,Matilda Stambeck,Iris Brinkman,Malin Asplund,Stefanie Mallow,Elspeth Chatto,Mollie Zalas,Lisa Nilsson,249
307,Exeter University Boat Club,No,D,Charlotte Remnant,Rebecca Quarterman ,Alexandra Hanson,Emma Arrindell,Anna Pettitt,Loren Smith,Mulberry Watkins,Lucy Newman,250
318,Worcester University Rowing Club,No,B,Katie Hawthorn,Katherine Rose Hooker,Rachael Maltby,Matilda Otway ,Alicia Pugh,Yvie Thompson,Holly Willis,Lorna Wright,251
